id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
30500,30747,30784,Solid-Weak,1160,0,none,17:47:50,2116
30498,30747,30784,Solid-Weak,1160,0,none,17:47:48,2116
30497,30772,30784,Solid-Weak,1160,0,none,17:47:45,2116
30486,30747,30772,Solid-Weak,1160,0,none,17:47:23,2116
30484,30757,30772,Solid-Weak,1160,0,none,17:47:21,2116
30474,30747,30757,Solid-Weak,1160,0,none,17:46:51,2116
30471,30607,30747,Solid-Weak,1160,0,none,17:46:07,2116
30460,30722,30736,Solid-Weak,1160,0,none,17:45:16,2116
30458,30722,30729,Solid-Weak,1160,0,none,17:44:56,2116
30451,30607,30722,Solid-Weak,1160,0,none,17:44:32,2116
30445,30607,30635,Solid-Weak,1160,0,none,17:43:55,2116
30444,30621,30705,Solid-Weak,1160,0,none,17:43:45,2116
30442,30635,30705,Solid-Weak,1160,0,none,17:43:41,2116
30438,30635,30695,Solid-Weak,1160,0,none,17:43:13,2116
30433,30669,30686,Solid-Weak,1160,0,none,17:42:48,2116
30432,30669,30686,Solid-Weak,1160,0,none,17:42:42,2116
30431,30669,30686,Solid-Weak,1160,0,none,17:42:40,2116
30429,30666,30682,Solid-Weak,1160,0,none,17:42:25,2116
30425,30669,30682,Solid-Weak,1160,0,none,17:42:16,2116
30418,30635,30669,Solid-Weak,1160,0,none,17:41:33,2116
30409,30663,30666,Solid-Weak,1160,0,none,17:41:03,2116
30408,30635,30663,Solid-Weak,1160,0,none,17:40:48,2116
30396,30641,30652,Solid-Weak,1160,0,none,17:40:14,2116
30391,30641,30647,Solid-Weak,1160,0,none,17:39:49,2116
30388,30608,30641,Solid-Weak,1160,0,none,17:39:27,2116
30382,30608,30611,Solid-Weak,1160,0,none,17:38:36,2116
30381,30608,30616,Solid-Weak,1160,0,none,17:38:34,2116
30380,30608,30619,Solid-Weak,1160,0,none,17:38:29,2116
30379,30608,30621,Solid-Weak,1160,0,none,17:38:21,2116
30377,30619,30621,Solid-Weak,1160,0,none,17:38:16,2116
30376,30611,30619,Solid-Weak,1160,0,none,17:38:14,2116
30375,30611,30616,Solid-Weak,1160,0,none,17:38:12,2116
30370,30607,30608,Solid-Weak,1160,0,none,17:36:34,2116
