id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
14676,15605,15954,Solid-Strong,328,0,uni,15:27:59,575
14675,15725,15954,Solid-Weak,328,0,none,15:27:45,575
14668,15724,15926,Solid-Weak,328,0,uni,15:26:18,575
14666,15725,15926,Solid-Weak,328,0,none,15:26:11,575
14538,15725,15612,Solid-Strong,328,0,uni,15:25:03,575
14640,15606,15724,Solid-Weak,328,0,none,15:23:30,575
14638,15605,15694,Solid,328,0,uni,15:23:10,575
14634,15606,15605,Dashed-Strong,328,0,none,15:22:51,575
14631,15605,15725,Solid,328,0,uni,15:22:34,575
14515,15669,15604,Solid,328,0,uni,15:20:50,575
14522,15607,15610,Solid-Weak,328,0,uni,15:18:56,575
14520,15608,15610,Solid-Strong,328,0,uni,15:18:46,575
14508,15605,15614,Dashed,328,0,uni,15:17:49,575
14549,15611,15609,Solid-Weak,328,0,uni,15:16:47,575
14548,15694,15669,Solid-Weak,328,0,uni,15:16:31,575
14534,15612,15606,Solid-Weak,328,0,none,15:15:02,575
14525,15612,15607,Solid,328,0,uni,15:20:26,575
14523,15612,15608,Solid-Weak,328,0,uni,15:20:19,575
14516,15609,15669,Solid-Weak,328,0,uni,15:21:32,575
14507,15614,15613,Solid-Weak,328,0,none,15:13:22,575
14505,15614,15611,Solid-Weak,328,0,none,15:13:21,575
14504,15613,15604,Solid-Weak,328,0,uni,15:13:14,575
14501,15611,15604,Solid-Weak,328,0,uni,15:12:57,575
14499,15611,15610,Solid,328,0,uni,15:12:51,575
14489,15604,15610,Dashed-Strong,328,0,uni,15:18:15,575
