id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
14967,15906,16131,Solid-Weak,340,0,uni,15:43:10,586
14932,15906,16275,Solid-Weak,340,0,uni,15:41:44,586
14920,16275,15931,Solid-Weak,340,0,uni,15:41:32,586
14905,15892,15906,Dashed-Weak,340,0,none,15:40:46,586
14858,16211,15906,Solid-Weak,340,0,uni,15:39:37,586
14865,15889,16211,Solid-Weak,340,0,uni,15:39:44,586
14857,15883,16211,Solid-Weak,340,0,none,15:38:16,586
14855,15892,16211,Solid-Weak,340,0,none,15:38:11,586
14854,16211,15888,Solid,340,0,uni,15:38:06,586
14841,15887,16204,Solid-Weak,340,0,none,15:37:06,586
14836,15931,16204,Solid-Weak,340,0,uni,15:36:55,586
14789,15915,16131,Solid-Weak,340,0,uni,15:35:22,586
14784,16131,15888,Solid-Weak,340,0,uni,15:34:36,586
14767,15889,15931,Solid-Weak,340,0,none,15:33:33,586
14763,15887,15915,Solid,340,0,none,15:42:23,586
14759,15931,15915,Solid-Weak,340,0,uni,15:33:17,586
14757,15888,15883,Solid-Strong,340,0,none,15:35:11,586
14755,15887,15888,Solid,340,0,uni,15:34:54,586
14748,15989,15961,Solid-Weak,340,0,uni,15:32:17,586
14743,15961,15891,Solid-Weak,340,0,uni,15:32:09,586
14740,15891,15903,Solid-Weak,340,0,uni,15:32:03,586
14738,15906,15903,Solid-Weak,340,0,uni,15:31:54,586
14733,15903,15883,Solid-Weak,340,0,uni,15:31:46,586
14729,15892,15883,Solid-Weak,340,0,none,15:31:26,586
14717,15989,15889,Solid-Weak,340,0,uni,15:31:13,586
14710,15892,15882,Solid-Weak,340,0,uni,15:30:23,586
14702,15882,15889,Solid-Weak,340,0,uni,15:30:11,586
14697,15889,15888,Solid,340,0,uni,15:35:01,586
