"id","starting_block","ending_block","line_style","creator","num","arrow_type","timestamp","CAM"
23512,24353,24368,"Dashed-Weak",809,0,"none","21:27:18",1565
23508,24339,24346,"Solid-Strong",809,0,"none","21:24:58",1565
23494,24338,24351,"Solid",809,0,"none","21:24:16",1565
23490,24338,24342,"Solid-Strong",809,0,"none","21:24:00",1565
23489,24339,24368,"Solid",809,0,"none","21:23:46",1565
23488,24339,24368,"Solid-Weak",809,0,"none","21:23:24",1565
23487,24341,24353,"Solid-Weak",809,0,"none","21:22:59",1565
23485,24339,24353,"Solid-Weak",809,0,"none","21:22:16",1565
23475,24339,24346,"Solid-Weak",809,0,"none","21:20:08",1565
23474,24339,24368,"Solid-Weak",809,0,"none","21:20:02",1565
23468,24338,24367,"Solid-Weak",809,0,"none","21:19:49",1565
23449,24339,24353,"Solid-Weak",809,0,"none","21:15:37",1565
23448,24338,24342,"Solid-Weak",809,0,"none","21:15:29",1565
23443,24338,24351,"Solid-Weak",809,0,"none","21:15:21",1565
23440,24338,24348,"Solid-Weak",809,0,"none","21:14:47",1565
23439,24339,24341,"Solid-Weak",809,0,"none","21:14:04",1565
23409,24338,24339,"Dashed",809,0,"none","11:40:19",1565
