id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
23888,24676,24759,Solid-Weak,820,0,none,11:49:54,1581
23887,24675,24754,Solid-Weak,820,0,none,11:49:52,1581
23885,24726,24743,Solid-Weak,820,0,none,11:48:42,1581
23884,24676,24743,Solid-Weak,820,0,none,11:48:17,1581
23881,24676,24735,Solid-Weak,820,0,none,11:47:24,1581
23880,24675,24735,Dashed-Weak,820,0,none,11:47:21,1581
23878,24684,24732,Solid-Weak,820,0,none,11:46:55,1581
23874,24682,24693,Solid-Weak,820,0,none,11:46:13,1581
23873,24675,24726,Solid-Weak,820,0,none,11:46:11,1581
23832,24675,24684,Solid-Weak,820,0,none,11:44:25,1581
23831,24676,24684,Dashed-Weak,820,0,none,11:44:19,1581
23828,24676,24682,Solid-Weak,820,0,none,11:43:58,1581
23826,24675,24682,Dashed-Weak,820,0,none,11:43:51,1581
23821,24675,24676,Solid-Weak,820,0,none,11:43:30,1581
