id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
24981,25576,25582,Solid-Weak,855,0,none,14:31:12,1641
24956,25575,25584,Dashed,855,0,none,14:25:23,1641
24955,25575,25582,Dashed-Strong,855,0,none,14:25:13,1641
24952,25575,25589,Dashed,855,0,none,14:24:33,1641
24951,25575,25590,Solid,855,0,none,14:24:16,1641
24950,25575,25588,Dashed-Strong,855,0,none,14:24:04,1641
24949,25585,25575,Dashed-Strong,855,0,none,14:23:36,1641
24947,25576,25590,Solid-Strong,855,0,none,14:22:36,1641
24945,25576,25589,Solid-Strong,855,0,none,14:22:27,1641
24943,25576,25588,Solid,855,0,none,14:22:08,1641
24938,25576,25585,Solid-Strong,855,0,none,14:20:35,1641
24937,25576,25584,Solid-Strong,855,0,none,14:20:26,1641
24921,25576,25582,Solid-Strong,855,0,none,14:17:15,1641
