id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
4649,4907,5460,Solid-Strong,118,0,none,18:50:56,203
4399,4303,5144,Solid-Weak,118,0,none,18:44:10,203
4397,4303,5144,Solid,118,0,none,18:44:07,203
4374,4303,4286,Solid-Strong,118,0,uni,18:43:57,203
4311,4378,4390,Solid-Weak,118,0,none,18:42:24,203
4265,4378,4388,Dashed,118,0,none,18:41:34,203
4235,4378,4219,Dashed,118,0,uni,18:41:02,203
4212,4480,4907,Solid-Strong,118,0,uni,18:40:13,203
4202,4390,4907,Solid-Strong,118,0,none,18:39:58,203
4176,4432,4907,Solid-Strong,118,0,uni,18:39:16,203
4168,4219,4907,Solid,118,0,none,18:39:03,203
3998,4347,4271,Solid,118,0,uni,18:36:49,203
3961,4321,4642,Dashed,118,0,none,18:35:38,203
3911,4347,4286,Solid-Strong,118,0,uni,18:34:41,203
3883,4286,4448,Dashed-Strong,118,0,none,18:34:09,203
3847,4286,4464,Dashed-Strong,118,0,none,18:33:41,203
3767,4286,4219,Solid-Strong,118,0,uni,18:33:05,203
3746,4367,4663,Solid-Weak,118,0,none,18:32:14,203
3731,4367,4219,Dashed-Weak,118,0,uni,18:32:05,203
3539,4578,4271,Dashed,118,0,uni,18:29:19,203
3456,4271,4219,Dashed-Strong,118,0,uni,18:28:06,203
3389,4321,4219,Dashed-Strong,118,0,uni,18:28:01,203
