id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
12630,make money,632.0,394.0,106.0,79.0,positive strong,276,11.0,,,1,428
12607,gist,777.0,151.0,91.3125,68.0,positive strong,276,10.0,,12:07:01,1,428
12592,important,353.0,237.0,95.3125,71.0,positive strong,276,9.0,,12:05:44,1,428
12586,meeting colleagues,679.0,36.0,100.641,75.0,positive,276,8.0,,,1,428
12581,fresh air,202.0,49.0,103.313,77.0,positive strong,276,7.0,,,1,428
12524,peace,736.344,445.0,184.641,138.0,ambivalent,276,6.0,,12:10:30,1,428
12463,precautions,461.0,240.0,136.641,102.0,neutral,276,4.0,,,1,428
12452,safe,664.0,235.0,160.0,120.0,positive weak,276,3.0,,11:56:28,1,428
12435,Outdoors,105.0,215.0,142.0,106.0,neutral,276,2.0,,,1,428
12422,Going back to work,400.0,20.0,160.0,120.0,neutral,276,1.0,,,1,428
