id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
5504,Schnelle Verbreitung,733.0,61.0,160.0,120.0,negative strong,169,11.0,,,1,269
5485,Abstand wird nicht mehr eingehalten,49.0,297.0,160.0,120.0,negative strong,169,10.0,,,1,269
5424,Angst,642.0,180.0,160.0,120.0,negative strong,169,9.0,,,1,269
5408,Opfer des Coronavirus,488.0,208.0,160.0,120.0,negative strong,169,8.0,,18:48:55,1,269
5378,Wiedereröffnung der Restaurants,20.0,168.0,160.0,120.0,positive strong,169,7.0,,,1,269
5347,Lockerung der Maßnahmen,237.0,20.0,160.0,120.0,neutral,169,6.0,,,1,269
5281,Eindämmungsmaßnahmen,325.0,268.0,160.0,120.0,neutral,169,5.0,,,1,269
5238,Hände waschen,272.0,480.0,160.0,120.0,ambivalent,169,4.0,,18:44:16,1,269
5209,Abstand halten,431.0,479.0,160.0,120.0,positive weak,169,3.0,,18:43:35,1,269
5186,Mundschutz tragen,110.0,471.0,160.0,120.0,ambivalent,169,2.0,,18:50:17,1,269
5162,Coronavirus-Ausbruch,503.0,31.0,160.0,120.0,neutral,169,1.0,,,1,269
