id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
12048,12467,12512,Solid,252,0,uni,11:59:05,404
12042,12479,12512,Solid,252,0,none,11:58:29,404
12039,12491,12512,Solid,252,0,none,11:58:18,404
12036,12512,12155,Dashed-Strong,252,0,uni,11:58:05,404
12027,12326,12491,Solid,252,0,none,11:55:57,404
12025,12362,12491,Solid,252,0,none,11:55:53,404
12011,12479,12155,Solid-Strong,252,0,uni,11:54:43,404
12007,12467,12155,Solid-Strong,252,0,uni,11:54:03,404
11954,12183,12418,Solid-Strong,252,0,none,11:50:14,404
11880,12362,12218,Solid-Strong,252,0,uni,11:46:33,404
11855,12326,12218,Solid,252,0,uni,11:44:34,404
11826,12176,12291,Solid,252,0,none,11:43:19,404
11814,12291,12155,Solid-Strong,252,0,uni,11:43:29,404
11765,12176,12239,Dashed,252,0,uni,11:43:47,404
11756,12155,12239,Dashed-Strong,252,0,uni,11:43:39,404
11753,12155,12218,Dashed-Weak,252,0,uni,11:39:26,404
11719,12218,12176,Solid,252,0,uni,11:37:41,404
11714,12218,12155,Solid-Strong,252,0,uni,11:37:10,404
11697,12176,12155,Solid,252,0,uni,11:35:43,404
11690,12183,12176,Solid,252,0,uni,11:34:57,404
