id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
29169,Unethical,118.0,45.0,130.0,97.0,neutral,1063,14.0,,,1,1906
29155,Helps people,609.0,354.0,160.0,120.0,positive,1063,13.0,,,1,1906
29148,class system produced ,872.0,93.0,160.0,120.0,negative strong,1063,12.0,,17:54:23,1,1906
29147,The Economy,689.6,189.0,144.3,107.738,neutral,1063,11.0,,18:00:51,1,1906
29144,Sleep,407.0,495.0,142.0,106.0,neutral,1063,10.0,,,1,1906
29142,Sleep disorders,739.0,518.0,118.0,88.0,neutral,1063,9.0,,,1,1906
29141,Military,335.0,43.0,163.325,122.0,negative weak,1063,8.0,,18:03:56,1,1906
29138,Controlled by an app,46.0,257.0,138.0,103.0,ambivalent,1063,7.0,,17:47:40,1,1906
29137,profit,907.0,347.0,131.325,98.0,neutral,1063,6.0,,,1,1906
29135,un-natural,220.0,384.0,132.663,99.0,negative,1063,5.0,,17:49:24,1,1906
29131,Hackers,583.0,36.0,123.325,92.0,negative strong,1063,4.0,,17:47:35,1,1906
29128,Intrusive,748.0,49.0,128.663,96.0,neutral,1063,3.0,,,1,1906
29126, Brain Implant,226.0,170.0,124.65,93.0,ambivalent,1063,2.0,,17:53:56,1,1906
29124,technological implant,476.0,198.0,163.8,117.0,neutral,1063,1.0,,17:48:52,1,1906
