id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28945,28584,28835,Solid-Weak,1029,0,uni,16:59:03,1871
28916,28523,28907,Solid-Weak,1029,0,none,16:56:46,1871
28519,28584,28546,Solid-Weak,1029,0,uni,16:51:00,1871
28809,28794,28523,Solid-Weak,1029,0,uni,16:50:42,1871
28817,28794,28835,Solid-Weak,1029,0,uni,16:59:09,1871
28812,28718,28779,Solid-Weak,1029,0,none,16:49:11,1871
28751,28747,28523,Dashed-Weak,1029,0,uni,16:44:45,1871
28754,28747,28756,Solid,1029,0,uni,16:44:52,1871
28718,28727,28718,Dashed-Weak,1029,0,uni,16:41:30,1871
28716,28523,28718,Solid,1029,0,none,16:41:19,1871
28623,28642,28523,Dashed-Weak,1029,0,uni,16:38:16,1871
28643,28618,28523,Dashed-Strong,1029,0,uni,16:37:11,1871
28595,28632,28642,Dashed-Weak,1029,0,uni,17:07:32,1871
28562,28609,28618,Solid,1029,0,none,16:32:35,1871
28507,28546,28523,Solid,1029,0,uni,16:50:53,1871
