id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28740,Becomes a status symbol,481.0,544.0,160.0,120.0,neutral,1030,16.0,,,1,1872
28735,Might become more expensive when demand becomes higher,729.0,542.0,160.0,120.0,negative strong,1030,15.0,,,1,1872
28719,Might become mandatory depending on jobs,664.0,20.0,160.0,120.0,neutral,1030,14.0,,,1,1872
28705,Unknown health risks,20.0,89.0,160.0,120.0,negative strong,1030,13.0,,,1,1872
28626,Used through an app,688.0,259.0,160.0,120.0,positive strong,1030,12.0,,,1,1872
28619,Can be hacked,748.0,144.0,160.0,120.0,negative strong,1030,11.0,,,1,1872
28608,Controls sleep disorder,308.0,492.0,160.0,120.0,positive strong,1030,10.0,,,1,1872
28600,increased productivity,159.0,42.0,160.0,120.0,positive strong,1030,9.0,,,1,1872
28593,Affordable,581.0,439.0,160.0,120.0,positive strong,1030,8.0,,16:44:12,1,1872
28586, Dissolves,45.0,202.0,158.0,118.0,negative strong,1030,6.0,,16:33:05,1,1872
28575,non-compulsory,411.0,20.0,160.0,120.0,positive strong,1030,3.0,,,1,1872
28560,biodegradable,65.0,358.0,160.0,120.0,positive strong,1030,2.0,,16:27:11,1,1872
28529,technological implant,386.0,236.0,162.0,115.703,neutral,1030,1.0, ,,1,1872
