id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28318,28153,28183,Solid-Weak,994,0,none,16:17:28,1832
28209,28169,28195,Dashed-Weak,994,0,none,16:12:08,1832
28202,28240,28147,Solid-Weak,994,0,uni,16:11:55,1832
28176,28269,28154,Solid-Weak,994,0,uni,16:10:24,1832
28144,28149,28228,Solid-Weak,994,0,none,16:08:41,1832
28143,28150,28228,Solid-Weak,994,0,none,16:08:38,1832
28141,28147,28228,Solid-Weak,994,0,none,16:08:36,1832
28113,28183,28164,Dashed-Weak,994,0,uni,16:05:57,1832
28102,28147,28195,Solid-Weak,994,0,none,16:04:25,1832
28097,28183,28154,Solid-Weak,994,0,uni,16:04:06,1832
28098,28147,28183,Solid-Weak,994,0,none,16:03:48,1832
28095,28148,28154,Solid-Weak,994,0,none,16:02:20,1832
28094,28148,28150,Solid-Weak,994,0,none,16:02:17,1832
28093,28148,28150,Solid-Weak,994,0,none,16:02:16,1832
28092,28164,28169,Solid-Weak,994,0,uni,16:01:57,1832
28091,28166,28169,Solid-Weak,994,0,uni,16:01:45,1832
28089,28147,28169,Solid-Weak,994,0,none,16:02:05,1832
28088,28147,28164,Solid-Weak,994,0,none,16:01:11,1832
28087,28147,28156,Solid-Weak,994,0,none,16:00:28,1832
28086,28147,28154,Solid,994,0,none,16:04:52,1832
28085,28147,28150,Solid-Weak,994,0,none,16:00:20,1832
28084,28150,28154,Solid,994,0,none,16:04:48,1832
28083,28150,28156,Solid-Weak,994,0,uni,16:00:07,1832
28082,28153,28154,Solid-Weak,994,0,uni,15:59:30,1832
28081,28149,28154,Solid-Weak,994,0,uni,15:59:19,1832
