id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28634,28355,28665,Dashed-Weak,1019,0,none,16:35:48,1860
28603,28355,28376,Dashed-Weak,1019,0,none,16:34:20,1860
28599,28355,28637,Dashed-Weak,1019,0,none,16:34:15,1860
28530,28355,28599,Dashed-Weak,1019,0,none,16:30:14,1860
28512,28387,28576,Solid-Weak,1019,0,none,16:27:50,1860
28464,28383,28423,Solid-Weak,1019,0,none,16:25:36,1860
28463,28387,28423,Solid-Weak,1019,0,none,16:25:34,1860
28460,28355,28416,Dashed-Weak,1019,0,none,16:30:23,1860
28455,28355,28376,Solid-Weak,1019,0,none,16:25:08,1860
28452,28387,28399,Dashed-Weak,1019,0,none,16:30:28,1860
28448,28394,28444,Solid,1019,0,none,16:24:45,1860
28413,28355,28490,Dashed,1019,0,none,16:22:14,1860
28412,28406,28490,Solid,1019,0,none,16:22:07,1860
28400,28394,28399,Solid,1019,0,none,16:20:47,1860
28398,28394,28399,Solid-Weak,1019,0,none,16:20:43,1860
28387,28355,28383,Solid-Strong,1019,0,none,16:20:22,1860
28383,28355,28394,Dashed-Strong,1019,0,none,16:20:51,1860
28380,28394,28399,Solid-Weak,1019,0,none,16:20:08,1860
28374,28355,28383,Solid-Weak,1019,0,none,16:19:54,1860
28373,28383,28387,Solid,1019,0,none,16:20:29,1860
