id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28485,28256,28547,Dashed,1005,0,none,16:26:58,1845
28477,28342,28547,Solid-Weak,1005,0,none,16:26:19,1845
28406,28243,28492,Solid-Strong,1005,0,uni,16:21:43,1845
28384,28275,28297,Solid-Strong,1005,0,uni,16:20:38,1845
28368,28275,28214,Solid-Strong,1005,0,uni,16:20:03,1845
28347,28306,28214,Dashed,1005,0,uni,16:19:27,1845
28339,28337,28214,Solid-Strong,1005,0,uni,16:18:22,1845
28323,28342,28214,Solid-Weak,1005,0,uni,16:17:51,1845
28295,28214,28256,Dashed,1005,0,none,16:17:29,1845
28269,28243,28214,Solid,1005,0,uni,16:15:49,1845
