id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
29258,people,291.0,81.0,160.0,120.0,neutral,1068,13.0,,,1,1911
29257,health,476.0,100.0,160.0,120.0,ambivalent,1068,12.0,,,1,1911
29252,sound sleep,490.0,476.0,160.0,120.0,positive strong,1068,10.0,,,1,1911
29251,brain hamper,121.0,376.0,160.0,120.0,negative strong,1068,9.0,,,1,1911
29249,hack,179.0,195.0,160.0,120.0,negative strong,1068,8.0,,,1,1911
29247,good health,629.0,534.0,160.0,120.0,positive strong,1068,7.0,,,1,1911
29246,release mental pressure,214.0,521.0,160.0,120.0,positive strong,1068,6.0,,,1,1911
29244,increase productivity,716.0,119.0,160.0,120.0,positive strong,1068,5.0,,,1,1911
29242,save time,773.0,282.0,160.0,120.0,positive strong,1068,4.0,,19:37:28,1,1911
29227,technological implant,472.0,291.0,160.0,120.0,neutral,1068,1.0, ,,1,1911
