id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28531,optimise the functions of the body,389.991,46.9908,159.991,120.0,positive strong,996,30.0,,16:25:34,1,1835
28503,systematic and predicatble,784.0,611.0,159.991,120.0,negative strong,996,29.0,,,1,1835
28496,increased leisure time,1081.0,372.0,159.991,120.0,positive strong,996,28.0,,,1,1835
28475,sustainable to maintan,189.0,448.0,159.991,120.0,positive,996,27.0,,,1,1835
28441,"political division - class, race, gender",554.0,606.0,159.991,120.0,negative,996,26.0,,,1,1835
28382,bad mental health,738.0,39.0,159.991,120.0,negative strong,996,24.0,,16:15:41,1,1835
28379,not proven safe for the body,588.0,69.0,159.991,120.0,negative strong,996,23.0,,16:15:37,1,1835
28375,personal health,591.0,149.0,159.991,120.0,negative strong,996,22.0,,,1,1835
28348,more pleasure,1004.0,507.0,159.991,120.0,positive strong,996,20.0,,,1,1835
28313,better economy,872.991,305.0,159.991,120.0,positive strong,996,19.0,,16:12:44,1,1835
28307,improve and enhance society,313.0,188.0,159.991,120.0,positive,996,18.0,,16:12:58,1,1835
28300,new discovery,171.0,269.0,159.991,120.0,positive strong,996,17.0,,16:13:01,1,1835
28254,not accepted by traditional society,311.982,526.982,159.991,120.0,ambivalent,996,16.0,,16:09:54,1,1835
28249,used for bad means ,494.0,505.0,159.991,120.0,negative strong,996,15.0,,16:11:10,1,1835
28239,Not natural ,663.991,535.995,159.991,120.0,ambivalent,996,14.0,,16:09:50,1,1835
28235,lack of personal agency and decision making,949.0,227.0,159.991,120.0,negative weak,996,13.0,,,1,1835
28221,Amoral,568.0,382.0,159.991,120.0,negative,996,12.0,,,1,1835
28191,better productivity,931.991,403.991,159.991,120.0,positive strong,996,8.0,,16:06:30,1,1835
28190,good wellbeing,836.0,510.0,159.991,120.0,positive strong,996,7.0,,16:06:32,1,1835
28180,scientific progress,334.0,356.991,159.991,120.0,neutral,996,5.0,,16:26:29,1,1835
28178,Improved performance,761.0,380.0,159.991,120.0,positive strong,996,4.0,,16:06:28,1,1835
28177,Lack of privacy,908.0,99.0,159.991,120.0,negative,996,3.0,,16:06:39,1,1835
28165,Mind Control,754.0,169.991,159.991,120.0,negative,996,2.0,,,1,1835
28161,technological implant,552.991,242.995,159.991,120.0,neutral,996,1.0, ,,1,1835
