id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28816,28825,28587,Solid-Weak,1031,0,uni,16:49:23,1873
28772,28559,28579,Solid-Weak,1031,0,none,16:45:28,1873
28770,28559,28587,Solid-Weak,1031,0,none,16:45:24,1873
28769,28559,28682,Solid-Weak,1031,0,none,16:45:14,1873
28733,28595,28628,Solid-Weak,1031,0,uni,16:43:39,1873
28731,28631,28628,Solid-Weak,1031,0,uni,16:43:35,1873
28729,28559,28628,Solid-Weak,1031,0,none,16:42:02,1873
28724,28648,28565,Solid-Weak,1031,0,uni,16:41:49,1873
28723,28568,28648,Solid-Weak,1031,0,none,16:41:37,1873
28720,28568,28565,Solid-Weak,1031,0,uni,16:41:34,1873
28719,28559,28565,Solid-Weak,1031,0,none,16:41:25,1873
28715,28559,28711,Solid-Weak,1031,0,none,16:41:09,1873
28711,28559,28582,Solid-Weak,1031,0,none,16:40:59,1873
28708,28559,28661,Dashed-Weak,1031,0,none,16:40:56,1873
28707,28559,28652,Dashed-Weak,1031,0,none,16:40:53,1873
28703,28559,28661,Solid-Weak,1031,0,none,16:40:41,1873
28698,28559,28602,Solid-Weak,1031,0,none,16:40:31,1873
28691,28559,28697,Dashed-Weak,1031,0,none,16:40:21,1873
28688,28622,28697,Solid-Weak,1031,0,uni,16:40:06,1873
28683,28603,28697,Solid-Weak,1031,0,uni,16:39:58,1873
