id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
29378,29015,29153,Solid,1056,0,none,17:51:17,1899
29377,29153,29156,Solid-Weak,1056,0,none,17:51:09,1899
29376,29153,29158,Solid-Weak,1056,0,none,17:51:04,1899
29352,29015,29129,Solid-Strong,1056,0,uni,17:44:50,1899
29351,29027,29129,Solid-Strong,1056,0,uni,17:44:37,1899
29348,29023,29129,Solid-Strong,1056,0,uni,17:44:11,1899
29347,29023,29027,Solid-Strong,1056,0,none,17:43:54,1899
29334,29069,29015,Solid,1056,0,uni,17:40:18,1899
29327,29063,29015,Solid,1056,0,uni,17:40:03,1899
29320,29063,29069,Solid,1056,0,none,17:39:44,1899
29288,29015,29044,Solid-Strong,1056,0,none,17:36:38,1899
29281,29015,29076,Solid,1056,0,none,17:36:14,1899
29274,29091,29058,Dashed-Strong,1056,0,uni,17:35:22,1899
29272,29091,29051,Dashed-Strong,1056,0,uni,17:35:01,1899
29266,29091,29048,Dashed-Strong,1056,0,uni,17:34:42,1899
29260,29039,29048,Dashed-Weak,1056,0,none,17:33:01,1899
29258,29039,29051,Dashed-Weak,1056,0,none,17:32:49,1899
29255,29039,29058,Dashed-Weak,1056,0,none,17:32:14,1899
29253,29039,29015,Dashed-Weak,1056,0,uni,17:32:02,1899
