id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28567,Economic boom,386.0,20.0,160.0,120.0,positive,1016,16.0,,16:27:26,1,1857
28553,Progress for sake of progress?,225.0,177.0,160.0,120.0,negative strong,1016,15.0,,16:26:40,1,1857
28544,"Ignorance to ""natural systems""",241.0,271.0,160.0,120.0,ambivalent,1016,14.0,,,1,1857
28508,could increase prestige of coworkers - more reason for it to become widespread (FOMO),947.6,20.0,160.0,120.0,negative,1016,13.0,(fear of missing out),16:24:30,1,1857
28493,Increased death,631.0,501.0,160.0,120.0,negative strong,1016,12.0,,16:21:41,1,1857
28486,"accidental use eg while driving, press button",503.0,418.0,160.0,120.0,negative strong,1016,11.0,,16:21:12,1,1857
28471,Huge income from immediate economic success could allow lobbying/political interference,865.0,398.0,160.0,120.0,negative strong,1016,10.0,,16:20:22,1,1857
28456,Producer of company could create monopoly,678.0,369.0,160.0,120.0,negative strong,1016,9.0,,,1,1857
28435,Extremly personal Data loss?,74.0,544.0,160.0,120.0,negative strong,1016,8.0,,16:18:31,1,1857
28429,Hackable?,335.0,385.0,160.0,120.0,negative weak,1016,7.0,,,1,1857
28420,could be used to extend work hours beyond what was once legal,741.0,244.0,160.0,120.0,negative strong,1016,6.0,,,1,1857
28407,employers can make it essentially mandatory through hiring policies,806.0,131.0,160.0,120.0,negative strong,1016,5.0,,16:25:14,1,1857
28381,use in wide workforce,606.0,102.0,160.0,120.0,negative weak,1016,4.0,,,1,1857
28360,Lives saved/night shift made easier,20.0,20.0,190.0,142.0,positive strong,1016,3.0,,,1,1857
28338,Medical usability,230.0,84.0,158.0,118.0,positive strong,1016,2.0,,16:13:43,1,1857
28322,technological implant,477.0,286.0,160.0,120.0,neutral,1016,1.0,,16:19:26,1,1857
