id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28749,28438,28755,Solid,1024,0,none,16:43:27,1866
28728,28438,28738,Solid,1024,0,none,16:42:02,1866
28695,28438,28725,Solid,1024,0,none,16:40:29,1866
28665,28438,28698,Dashed-Strong,1024,0,none,16:38:32,1866
28648,28438,28687,Solid-Strong,1024,0,none,16:37:29,1866
28631,28641,28664,Solid,1024,0,none,16:35:33,1866
28609,28651,28641,Solid,1024,0,uni,16:34:46,1866
28591,28438,28641,Solid-Weak,1024,0,none,16:33:52,1866
28560,28555,28617,Solid,1024,0,none,16:31:49,1866
28491,28438,28555,Solid,1024,0,none,16:26:53,1866
28467,28453,28536,Solid-Weak,1024,0,none,16:25:59,1866
28447,28514,28499,Solid,1024,0,uni,16:25:02,1866
28426,28438,28499,Dashed-Weak,1024,0,none,16:23:06,1866
28392,28438,28453,Solid,1024,0,none,16:20:44,1866
