id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28506,28280,28564,Solid-Weak,1000,0,none,16:27:37,1839
28504,28301,28564,Solid-Weak,1000,0,none,16:27:33,1839
28501,28185,28564,Solid-Weak,1000,0,uni,16:27:29,1839
28436,28280,28506,Solid-Weak,1000,0,none,16:23:51,1839
28395,28226,28245,Solid-Weak,1000,0,none,16:20:33,1839
28376,28185,28339,Solid-Weak,1000,0,uni,16:20:05,1839
28366,28226,28232,Solid-Weak,1000,0,none,16:19:31,1839
28358,28185,28280,Dashed-Weak,1000,0,uni,16:19:16,1839
28351,28185,28232,Dashed-Weak,1000,0,uni,16:21:39,1839
28342,28211,28224,Solid-Weak,1000,0,none,16:18:12,1839
28334,28185,28224,Solid-Weak,1000,0,uni,16:18:08,1839
