id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28208,more hours available for activities,699.0,21.0,160.0,120.0,positive weak,997,12.0,,16:06:36,1,1836
28204,making people alike,196.0,458.0,160.0,120.0,negative weak,997,11.0,,,1,1836
28198,easily destroyed/metabolised,610.0,435.0,160.0,120.0,positive,997,10.0,,,1,1836
28197,energy efficient,681.0,313.0,160.0,120.0,positive weak,997,9.0,,,1,1836
28193,have vs have nots,373.0,41.0,160.0,120.0,negative weak,997,8.0,,,1,1836
28187,unnatural,102.0,232.0,160.0,120.0,negative,997,7.0,,,1,1836
28184,potential for abuse,279.0,133.0,160.0,120.0,negative strong,997,6.0,,,1,1836
28179,unknown long term effects,403.0,423.0,160.0,120.0,negative strong,997,5.0,,,1,1836
28176,sleep disorders,515.0,63.0,160.0,120.0,positive,997,4.0,,,1,1836
28175,work efficiency,684.0,189.0,160.0,120.0,ambivalent,997,3.0,,16:05:07,1,1836
28170,hacking,287.0,281.0,160.0,120.0,negative strong,997,2.0,,,1,1836
28168,technological implant,445.0,244.0,160.0,120.0,neutral,997,1.0, ,,1,1836
