id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28402,people may stay awake for too long which may not be good for their physical health,426.0,502.0,160.0,120.0,negative strong,1006,18.0,,,1,1846
28358,Neutral,474.0,190.0,160.0,120.0,ambivalent,1006,16.0,,16:15:09,1,1846
28357,some people may have it for the sake of it (if its trending),472.0,72.0,160.0,120.0,ambivalent,1006,15.0,,16:15:01,1,1846
28344,People may think robots are taking over the world,202.0,42.0,160.0,120.0,negative,1006,14.0,,,1,1846
28332,Negative Impact,164.0,460.0,160.0,120.0,negative strong,1006,13.0,,,1,1846
28324,people may get paranoid,183.0,293.0,152.641,114.0,negative strong,1006,12.0,,,1,1846
28292,Positive Impact,685.0,414.0,160.0,120.0,positive strong,1006,11.0,,,1,1846
28263,it can disintegrate whenever the owner no longer wants it,667.0,51.0,192.0,143.5,positive,1006,7.0,,16:10:47,1,1846
28238,people wont have to worry about not getting enough sleep,695.0,284.0,160.0,120.0,positive,1006,4.0,,16:09:03,1,1846
28227,some people may use it too much which may have a negative health impact on them,197.0,168.0,158.0,118.0,negative,1006,3.0,,,1,1846
28225,it is able to help people who struggle to sleep,688.0,183.0,160.0,120.0,positive strong,1006,2.0,,,1,1846
28216,technological implant,472.0,290.0,160.0,120.0,neutral,1006,1.0, ,,1,1846
