id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28916,May not be effective,882.0,577.0,160.0,120.0,negative weak,1020,29.0,Poor sleep may have other factors such as persons environment which cant be influenced by the implant. Therefore it may not be effective in treating sleep disorders on its own and may behave as a short term solution where instead therapy alongside the implant may be more effective.,16:58:01,1,1861
28875,self efficient,611.0,20.0,160.0,120.0,positive weak,1020,28.0,"It uses natural resources to run (blood flow, vibrations, temperature) which means cost will be negligible when looking at its day to day usage",16:54:17,1,1861
28868,Cost,500.0,182.0,160.0,120.0,neutral,1020,27.0,What will be the cost of using the implant? Will you need to pay to use it? Will you need a certain smartphone which can be expensive for people or will any smart phone work?,16:52:29,1,1861
28796,Ease of burden/usage,816.0,260.0,160.0,120.0,positive weak,1020,25.0,Can be used for sleep treatment. It has less burden on participants effort as it will be regulated simply by itself/using the phone app. This is similar to using drugs but removes the negative effects of drugs such as reliance/ addiction to sleep drugs,16:47:54,1,1861
28788,Another treatment method,709.0,423.0,160.0,120.0,ambivalent,1020,24.0,,,1,1861
28751,May not be secure,480.0,553.0,160.0,120.0,negative,1020,23.0,"Is the technology safe from hackers? As it uses your phone as well, cyber security may be an issue where some phones may be less secure. Hackers could hack into the implant. what if they change how it works? Can be very dangerous if not properly secure.",16:44:17,1,1861
28733,Easy to use,102.0,362.0,160.0,120.0,positive weak,1020,21.0,Easy to use. Simply use a phone app to modify/ access it. And easy to opt out of as it will simply metabolise naturally is a peson does not want to use it anymore,16:42:01,1,1861
28724,Technology usage,267.0,466.0,160.0,120.0,ambivalent,1020,19.0,Used by implanting a chip and controlling with a phone app,16:40:40,1,1861
28685,Discrimination,299.0,50.0,160.0,120.0,negative,1020,18.0,"People who opt in/ do not opt in may be cast aside/ discriminated against. I.e. people who do use it may feel ""better"" than those who do not. Can be discriminated in society i.e. Not being hired for a job unless you have the chip",16:38:31,1,1861
28656,Become more controlling?,755.0,-5.0,160.0,120.0,negative weak,1020,17.0,"Sleep wake cycle is not a simple 7-8 hour long cycle. It is usually 90 minute cycles. People could potentially abuse this in the short term where they will opt in for ""higher"" quality less sleep which can have long term health effects.",16:36:18,1,1861
28620,Better quality of life,1010.0,20.0,160.0,120.0,positive,1020,16.0," A more efficent sleep wake cycle will lead to better health such as not being as tired, less stressed etc. This will lead to a better quality of life for many individuals",16:33:45,1,1861
28591,More productivity,1013.0,246.0,160.0,120.0,ambivalent,1020,15.0,Better sleep wake cycle = efficent sleep for users. This will allow users to be more healthy therefore more productive in many activites such as work/leisure and physical,16:30:18,1,1861
28571,Productivity increase can be abused,1091.0,488.0,160.0,120.0,negative,1020,11.0,"More productivity may lead to employees having greater work load as in theory they would be able to complete more work. This can cause physical and mental harm such as stress, counteracting the benefit gained through better sleep.",16:28:50,1,1861
28385,Regulates sleep/wake cycle,793.0,132.0,160.0,120.0,ambivalent,1020,3.0,,16:15:43,1,1861
28366,technological implant,472.0,290.0,160.0,120.0,neutral,1020,1.0, ,,1,1861
