id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28942,28788,28916,Dashed,1020,0,uni,16:58:13,1861
28888,28868,28875,Solid-Weak,1020,0,uni,16:54:26,1861
28865,28366,28868,Solid-Weak,1020,0,none,16:52:35,1861
28794,28788,28796,Solid,1020,0,uni,16:48:17,1861
28780,28788,28366,Solid-Weak,1020,0,uni,16:46:28,1861
28761,28724,28751,Dashed-Strong,1020,0,uni,16:44:28,1861
28730,28733,28724,Solid,1020,0,uni,16:42:11,1861
28706,28366,28724,Solid-Weak,1020,0,none,16:40:46,1861
28669,28685,28366,Dashed,1020,0,uni,16:38:45,1861
28636,28385,28656,Dashed-Weak,1020,0,none,16:36:27,1861
28597,28620,28385,Solid-Weak,1020,0,uni,16:34:11,1861
28539,28591,28571,Dashed,1020,0,uni,16:31:11,1861
28534,28591,28385,Solid,1020,0,uni,16:30:38,1861
28327,28385,28366,Solid,1020,0,uni,16:18:00,1861
