id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28887,no side effects/not addictive,166.0,198.0,160.0,120.0,positive strong,1043,16.0,,16:56:41,1,1885
28883,charged by body,491.0,20.0,160.0,120.0,positive strong,1043,15.0,,16:56:17,1,1885
28877,possible corruption during self repair,28.0,117.0,160.0,120.0,negative,1043,14.0,,16:56:28,1,1885
28874,increased risk of killing,28.0,434.0,160.0,120.0,negative strong,1043,13.0,,16:57:20,1,1885
28872,people could be more efficient,65.0,591.0,160.0,120.0,positive,1043,12.0,,16:57:42,1,1885
28870,new concept/AI makes people apprehensive ,515.0,564.0,160.0,120.0,negative,1043,11.0,,16:56:01,1,1885
28858,against nature,725.0,518.0,160.0,120.0,negative,1043,10.0,,16:55:54,1,1885
28854,corruption - used for wrong purposes @mind control',700.0,385.0,166.0,124.0,negative strong,1043,9.0,,16:55:38,1,1885
28846,potentially open to hackers,755.0,211.0,160.0,120.0,negative strong,1043,8.0,,16:55:27,1,1885
28843,risk to data privacy,650.0,101.0,160.0,120.0,negative strong,1043,7.0,,16:55:35,1,1885
28842,controlled by phone app,320.0,506.0,160.0,120.0,positive strong,1043,6.0,,16:57:37,1,1885
28839,self-decomposing if no longer needed or damaged,233.0,364.0,172.641,129.0,positive strong,1043,5.0,,17:06:34,1,1885
28832,military applications,44.0,291.0,160.0,120.0,ambivalent,1043,4.0,,16:57:52,1,1885
28827,repairs itself,148.0,38.0,160.0,120.0,positive strong,1043,3.0,,16:56:23,1,1885
28820,use to treat sleep disorders,366.0,102.0,160.0,120.0,positive strong,1043,2.0,,16:56:36,1,1885
28677,technological implant,472.0,290.0,160.0,120.0,neutral,1043,1.0, ,,1,1885
