id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
29960,29621,29644,Solid-Weak,1098,0,none,17:30:00,1969
29959,29640,29643,Dashed-Weak,1098,0,none,17:29:43,1969
29958,29621,29643,Solid-Weak,1098,0,none,17:29:39,1969
29955,29634,29640,Solid-Weak,1098,0,none,17:29:09,1969
29953,29619,29639,Solid,1098,0,none,17:26:21,1969
29952,29635,29636,Dashed-Weak,1098,0,none,17:25:04,1969
29951,29620,29636,Solid-Weak,1098,0,none,17:24:59,1969
29950,29619,29635,Solid-Weak,1098,0,uni,17:24:00,1969
29949,29619,29635,Solid,1098,0,none,17:23:52,1969
29948,29619,29633,Dashed-Weak,1098,0,none,17:22:22,1969
29947,29633,29634,Dashed-Weak,1098,0,none,17:22:16,1969
29946,29621,29631,Solid,1098,0,none,17:21:22,1969
29945,29605,29621,Solid-Weak,1098,0,none,17:20:48,1969
29944,29605,29620,Solid-Weak,1098,0,none,17:20:38,1969
29942,29605,29620,Dashed-Weak,1098,0,none,17:19:49,1969
29941,29619,29620,Dashed-Weak,1098,0,none,17:19:43,1969
29939,29621,29624,Solid,1098,0,uni,17:19:21,1969
