id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28220,28294,28234,Solid-Weak,1004,0,uni,16:20:25,1850
28233,28287,28234,Solid,1004,0,uni,16:20:17,1850
28379,28234,28463,Solid-Weak,1004,0,none,16:20:04,1850
28361,28272,28439,Solid-Weak,1004,0,none,16:19:12,1850
28350,28234,28439,Solid-Weak,1004,0,none,16:18:36,1850
28348,28272,28439,Solid-Weak,1004,0,none,16:18:34,1850
28321,28294,28316,Dashed,1004,0,none,16:17:36,1850
28315,28343,28345,Dashed-Weak,1004,0,none,16:17:19,1850
28312,28343,28349,Dashed-Weak,1004,0,none,16:17:12,1850
28309,28343,28349,Dashed-Weak,1004,0,none,16:17:07,1850
28306,28257,28413,Dashed,1004,0,none,16:16:57,1850
28303,28234,28413,Solid-Weak,1004,0,none,16:16:44,1850
28298,28257,28398,Solid-Weak,1004,0,none,16:16:13,1850
28297,28257,28388,Solid-Weak,1004,0,none,16:16:08,1850
28294,28388,28398,Solid-Weak,1004,0,none,16:16:06,1850
28252,28234,28343,Solid-Weak,1004,0,none,16:14:16,1850
28250,28343,28349,Dashed-Weak,1004,0,none,16:17:26,1850
28249,28343,28345,Solid-Weak,1004,0,none,16:14:13,1850
28232,28234,28278,Solid-Weak,1004,0,none,16:13:22,1850
28231,28278,28283,Solid-Weak,1004,0,none,16:13:20,1850
28228,28234,28283,Solid-Weak,1004,0,none,16:13:15,1850
28226,28234,28305,Solid,1004,0,none,16:17:42,1850
28223,28272,28305,Solid-Weak,1004,0,none,16:13:10,1850
28218,28294,28316,Solid-Weak,1004,0,none,16:13:02,1850
28178,28272,28234,Solid-Strong,1004,0,uni,16:10:30,1850
28167,28257,28234,Solid,1004,0,uni,16:10:03,1850
