id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
29870,29425,29423,Solid-Weak,1084,0,none,16:01:58,1934
29869,29432,29423,Solid-Weak,1084,0,none,16:01:54,1934
29868,29426,29423,Solid-Weak,1084,0,none,16:01:46,1934
29867,29430,29423,Solid-Weak,1084,0,none,16:01:43,1934
29748,29426,29427,Solid-Weak,1084,0,none,19:39:34,1934
29747,29430,29431,Dashed-Weak,1084,0,none,19:39:09,1934
29746,29426,29432,Dashed-Weak,1084,0,none,19:38:57,1934
29745,29426,29430,Solid-Weak,1084,0,none,19:38:47,1934
29744,29425,29427,Solid,1084,0,none,19:38:39,1934
29743,29425,29432,Solid-Weak,1084,0,none,19:38:25,1934
29742,29425,29431,Solid-Strong,1084,0,none,19:38:22,1934
29741,29426,29428,Solid-Weak,1084,0,none,19:38:13,1934
29740,29426,29429,Solid-Strong,1084,0,none,19:38:10,1934
29739,29424,29430,Solid,1084,0,none,19:38:02,1934
29738,29424,29429,Solid-Strong,1084,0,none,19:37:51,1934
