id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28966,28753,28673,Dashed-Weak,1042,0,uni,17:04:57,1884
28995,28860,28673,Dashed-Weak,1042,0,uni,17:04:53,1884
29024,28753,28942,Solid,1042,0,none,17:04:28,1884
29023,28772,28942,Solid,1042,0,none,17:04:23,1884
29000,28763,28767,Solid-Weak,1042,0,none,17:02:11,1884
28988,28673,28734,Dashed-Weak,1042,0,none,17:01:17,1884
28982,28673,28739,Solid,1042,0,none,17:01:01,1884
28979,28753,28860,Solid-Strong,1042,0,none,17:00:37,1884
28977,28716,28772,Dashed-Strong,1042,0,none,17:00:21,1884
28963,28753,28772,Solid-Strong,1042,0,none,17:00:44,1884
28956,28853,28673,Dashed-Strong,1042,0,uni,16:59:12,1884
28953,28767,28853,Solid,1042,0,none,16:58:55,1884
28948,28767,28673,Dashed-Strong,1042,0,uni,16:58:40,1884
28943,28763,28764,Solid-Strong,1042,0,none,16:58:17,1884
28936,28764,28673,Solid,1042,0,uni,16:57:53,1884
28921,28763,28673,Solid,1042,0,uni,16:57:30,1884
28892,28789,28673,Solid,1042,0,uni,16:55:22,1884
28689,28716,28673,Solid,1042,0,uni,16:55:34,1884
