id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28075,28096,28106,Dashed-Weak,990,0,uni,23:22:22,1828
28074,28101,28106,Solid-Weak,990,0,none,23:21:39,1828
28073,28095,28106,Dashed-Weak,990,0,none,23:21:32,1828
28072,28105,28098,Dashed-Weak,990,0,uni,23:20:36,1828
28071,28095,28105,Dashed-Weak,990,0,uni,23:19:51,1828
28070,28095,28105,Solid-Weak,990,0,none,23:19:14,1828
28069,28096,28104,Solid-Weak,990,0,uni,23:18:14,1828
28068,28098,28103,Dashed-Weak,990,0,none,23:17:11,1828
28067,28095,28103,Solid-Weak,990,0,uni,23:16:41,1828
28066,28102,28096,Solid-Weak,990,0,uni,23:15:52,1828
28065,28097,28102,Solid-Weak,990,0,uni,23:15:33,1828
28064,28095,28101,Dashed-Weak,990,0,none,23:12:39,1828
28063,28095,28096,Solid-Weak,990,0,uni,23:05:43,1828
28062,28095,28097,Solid-Weak,990,0,uni,23:05:24,1828
28061,28095,28098,Dashed-Weak,990,0,none,23:03:14,1828
28060,28096,28097,Solid-Weak,990,0,none,23:01:14,1828
