id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
29355,Could help people relax knowing that they can sleep when they need to,222.0,471.0,160.0,120.0,positive strong,1078,13.0,,17:13:58,1,1928
29348,Is controlled through an app,762.0,209.0,160.0,120.0,negative strong,1078,12.0,,,1,1928
29346,Less hassle than taking medication,636.0,20.0,160.0,120.0,positive strong,1078,11.0,,,1,1928
29342,Positive affect on mood?,50.0,20.0,160.0,120.0,neutral,1078,10.0,,17:07:13,1,1928
29341,Can disrupt life balance,455.0,417.0,160.0,120.0,negative strong,1078,9.0,,17:06:43,1,1928
29340,Self healing,78.0,221.0,160.0,120.0,positive strong,1078,8.0,,,1,1928
29338,Could be harmful,609.0,262.0,160.0,120.0,negative strong,1078,7.0,,,1,1928
29335,Lack of security,689.0,430.0,160.0,120.0,negative strong,1078,6.0,,,1,1928
29333,Can be hacked,401.0,42.0,160.0,120.0,negative strong,1078,5.0,,,1,1928
29332,Goes against nature,760.0,85.0,160.0,120.0,negative strong,1078,4.0,,,1,1928
29330,Immoral,163.0,351.0,160.0,120.0,negative strong,1078,3.0,,17:04:47,1,1928
29328,Helps people who struggle with sleep ,191.0,123.0,160.0,120.0,positive strong,1078,2.0,,17:04:31,1,1928
29327,technological implant,419.0,241.0,160.0,120.0,neutral,1078,1.0, ,,1,1928
