id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
28504,More expensive,340.25,536.0,160.0,120.0,negative weak,1008,47.0,,16:25:12,1,1848
28460,My sleep routine,51.75,91.25,160.0,120.0,positive,1008,41.0,,16:22:15,1,1848
28412,My well-being,48.0,455.0,160.0,120.0,positive,1008,36.0,,16:22:13,1,1848
28400,Impacts on me,273.0,281.5,160.0,120.0,positive strong,1008,34.0,,16:22:08,1,1848
28395,My performance,18.0,267.0,160.0,120.0,positive,1008,33.0,,16:22:16,1,1848
28356,Partner reaction,998.9,434.0,160.0,120.0,positive,1008,28.0,,16:18:49,1,1848
28330,Family reaction,1022.02,279.5,160.0,120.0,negative strong,1008,26.0,,16:21:21,1,1848
28303,co-workers reaction,932.0,134.0,202.0,151.0,neutral,1008,22.0,,16:21:27,1,1848
28288,Reactions,787.5,281.5,160.0,120.0,ambivalent,1008,20.0,,16:20:57,1,1848
28258,Technological implant,514.0,42.0,267.0,199.75,neutral,1008,7.0,,16:10:48,1,1848
