id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
28427,28258,28504,Dashed-Weak,1008,0,none,16:27:22,1848
28371,28395,28460,Solid-Weak,1008,0,none,16:19:43,1848
28370,28400,28460,Solid-Weak,1008,0,none,16:19:39,1848
28331,28395,28412,Solid-Weak,1008,0,none,16:17:46,1848
28326,28400,28412,Solid-Weak,1008,0,none,16:17:40,1848
28324,28395,28400,Solid-Weak,1008,0,none,16:17:38,1848
28320,28258,28400,Solid-Strong,1008,0,none,16:24:42,1848
28257,28288,28356,Solid-Weak,1008,0,none,16:14:30,1848
28239,28288,28330,Solid-Weak,1008,0,none,16:13:35,1848
28236,28288,28303,Solid-Weak,1008,0,none,16:13:32,1848
28200,28258,28288,Solid,1008,0,none,16:24:28,1848
