id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
29417,May be vulnerable to hackers,757.0,528.0,160.0,120.0,negative strong,1083,18.0,,,1,1933
29415,Potential data privacy and security issues,473.0,528.0,160.0,120.0,negative strong,1083,16.0,,,1,1933
29414,Could create have and have-not scenarios,736.0,336.0,160.0,120.0,negative strong,1083,15.0,,,1,1933
29413,Reduces the risk of fatigue related accidents,1190.0,265.0,160.0,120.0,positive strong,1083,14.0,,,1,1933
29412,"Could alter the mentality of soldiers,  possibly leading to excess violence",1041.0,396.0,160.0,120.0,negative strong,1083,13.0,,,1,1933
29410,Increases the chance of accomplishments,1190.0,33.0,160.0,120.0,positive strong,1083,12.0,,,1,1933
29408,Can allow the user to go multiple days without sleep,970.0,129.0,160.0,120.0,ambivalent,1083,11.0,,,1,1933
29405,Can help treat sleep disorders,471.0,20.0,160.0,120.0,positive strong,1083,9.0,,18:21:02,1,1933
29403,Helps regulate the user's sleep-wake cycle,694.0,20.0,160.0,120.0,positive strong,1083,8.0,,18:20:08,1,1933
29401,Can decompose and is automatically metabolized if the user no longer wants it,145.0,545.0,159.312,119.0,positive strong,1083,7.0,,18:18:42,1,1933
29400,Able to repair itself,142.0,412.0,160.0,120.0,positive strong,1083,6.0,,18:16:15,1,1933
29399,Does not require maintenance,142.0,292.0,160.0,120.0,positive strong,1083,5.0,,18:15:50,1,1933
29398,Controlled via an app,137.0,151.0,160.0,120.0,positive weak,1083,4.0,,,1,1933
29397,Easily implanted,136.0,20.0,160.0,120.0,positive strong,1083,3.0,,,1,1933
29396,technological implant,472.0,290.0,160.0,120.0,neutral,1083,1.0, ,,1,1933
