id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
29368,29073,29086,Solid-Weak,1060,0,none,17:49:16,1903
29364,29073,29098,Solid-Weak,1060,0,none,17:46:54,1903
29345,29073,29083,Solid-Strong,1060,0,uni,17:42:38,1903
29344,29073,29080,Solid-Weak,1060,0,none,17:42:20,1903
29341,29125,29088,Solid,1060,0,uni,17:41:51,1903
29340,29073,29088,Solid-Weak,1060,0,none,17:41:30,1903
29337,29077,29125,Solid-Weak,1060,0,none,17:41:04,1903
29336,29073,29125,Solid-Weak,1060,0,none,17:40:54,1903
29311,29118,29100,Solid-Weak,1060,0,uni,17:39:02,1903
29307,29073,29118,Solid-Weak,1060,0,none,17:38:15,1903
29294,29083,29095,Solid-Weak,1060,0,uni,17:37:05,1903
29291,29083,29093,Solid-Weak,1060,0,uni,17:36:56,1903
29289,29083,29098,Solid-Weak,1060,0,none,17:36:42,1903
29282,29098,29095,Solid-Weak,1060,0,uni,17:35:54,1903
29276,29095,29093,Solid,1060,0,uni,17:35:39,1903
29270,29086,29085,Solid,1060,0,uni,17:35:10,1903
29269,29083,29085,Solid-Strong,1060,0,uni,17:34:50,1903
29265,29077,29080,Solid-Strong,1060,0,none,17:34:04,1903
