id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
29851,"If yes, who dictates this?",345.0,544.0,160.0,120.0,neutral,1095,20.0,,11:23:52,1,1965
29850,Chaos could ensue if hacked,790.0,389.0,160.0,120.0,negative strong,1095,19.0,,11:23:12,1,1965
29592,Could they track severe disease before symptoms show?,90.0,20.0,160.0,120.0,positive strong,1095,18.0,,,1,1965
29590,Potential to develop further,260.0,143.0,160.0,120.0,positive,1095,17.0,,17:03:54,1,1965
29583,How are they inserted into a person?,92.0,235.0,160.0,120.0,ambivalent,1095,16.0,,17:02:23,1,1965
29581,Who has access to the data from the chips?,806.0,172.0,160.0,120.0,neutral,1095,15.0,,,1,1965
29579,What is the cost of these and who pays?,503.0,446.0,160.0,120.0,ambivalent,1095,13.0,,17:00:39,1,1965
29577,Would it be compulsory?,148.0,472.0,160.0,120.0,neutral,1095,12.0,,11:24:10,1,1965
29573,Could create a 'class' system,311.0,366.0,160.0,120.0,negative strong,1095,11.0,,16:59:20,1,1965
29569,Can be removed naturally,34.0,369.0,160.0,120.0,positive strong,1095,10.0,,16:58:41,1,1965
29567,Medical benefits,352.0,23.0,160.0,120.0,positive weak,1095,9.0,,,1,1965
29566,How easy to hack chips?,644.0,282.0,160.0,120.0,negative weak,1095,8.0,,16:57:16,1,1965
29562,Aid with sleep problems,626.0,20.0,160.0,120.0,positive strong,1095,5.0,,16:56:39,1,1965
29561,Technological implant,460.0,265.0,155.328125,116.0,neutral,1095,4.0,,11:20:59,1,1965
