id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31538,Recovery for patients,1155.0,340.0,160.0,120.0,ambivalent,1213,29.0,,19:59:09,1,2171
31536,Hospitals?,1061.0,213.0,160.0,120.0,ambivalent,1213,28.0,,19:58:55,1,2171
31531,Dont like the idea,303.0,409.0,160.0,120.0,negative,1213,27.0,,19:56:44,1,2171
31530,Health?,1167.0,151.0,160.0,120.0,ambivalent,1213,26.0,,19:55:54,1,2171
31528,Are there any actual benefits?,973.0,52.0,160.0,120.0,ambivalent,1213,25.0,,19:55:41,1,2171
31525,What are the side effects?,20.0,325.0,160.0,120.0,negative,1213,24.0,,19:53:27,1,2171
31522,Could it be hacked into? And controlled externally?,320.0,20.0,226.0,169.0,negative weak,1213,23.0,,19:52:13,1,2171
31509,What else can be monitored? Our location?!!,890.0,506.0,220.641,165.0,negative,1213,22.0,,19:49:07,1,2171
31501,Employers ,856.0,195.0,160.0,120.0,negative weak,1213,20.0,,19:47:28,1,2171
31498,8 hours sleep a night,228.0,195.0,160.0,120.0,positive strong,1213,18.0,,19:47:00,1,2171
31493,Long haul flights,27.0,155.0,160.0,120.0,positive,1213,17.0,,19:46:37,1,2171
31491,Parents to contol babies / children,858.0,355.0,160.0,120.0,negative,1213,15.0,,19:46:12,1,2171
31486,Rapists,590.0,544.0,160.0,120.0,negative,1213,14.0,,19:45:49,1,2171
31484,Murderers,245.0,544.0,160.0,120.0,negative,1213,13.0,,19:45:39,1,2171
31480,It could cause an accident,700.0,29.0,160.0,120.0,negative weak,1213,12.0,,19:45:04,1,2171
31476,Mis Use,697.0,278.0,160.0,120.0,negative strong,1213,11.0,,19:44:23,1,2171
31471,What if it fails?,511.0,100.0,192.641,144.0,negative strong,1213,10.0,,19:43:50,1,2171
31469,Who monitors it,679.0,452.0,160.0,120.0,negative strong,1213,9.0,,19:43:09,1,2171
31467,Could it be used for criminal activity?,394.0,515.0,194.0,145.0,negative strong,1213,8.0,,,1,2171
31464,Goes against nature,64.0,428.0,232.641,174.0,negative strong,1213,7.0,,,1,2171
31463,Nap whenever I want,56.0,241.0,160.0,120.0,positive strong,1213,6.0,,,1,2171
31462,More productive at work,153.0,87.0,187.312,140.0,positive,1213,5.0,,19:47:03,1,2171
31457,technological implant,378.0,270.0,160.0,120.0,neutral,1213,1.0,,19:43:55,1,2171
