id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31067,31061,31107,Solid-Weak,1186,0,none,18:24:19,2145
31064,31038,31086,Dashed,1186,0,none,18:27:32,2145
31046,31041,31092,Solid-Weak,1186,0,none,18:22:55,2145
30946,31056,30979,Solid-Strong,1186,0,none,18:26:55,2145
30947,31061,30979,Solid-Strong,1186,0,none,18:28:40,2145
30953,31044,31038,Solid-Weak,1186,0,uni,18:20:32,2145
30952,31041,31038,Solid,1186,0,uni,18:27:40,2145
31024,31092,31052,Solid,1186,0,uni,18:27:18,2145
31011,31086,31092,Solid-Strong,1186,0,uni,18:27:15,2145
31001,31013,31023,Solid-Weak,1186,0,none,18:19:01,2145
30998,30979,31015,Solid,1186,0,none,18:26:28,2145
30994,31019,31023,Solid,1186,0,none,18:26:16,2145
30993,31007,31019,Solid-Strong,1186,0,none,18:26:20,2145
30989,31007,31013,Solid-Weak,1186,0,none,18:18:17,2145
30988,30979,31013,Solid,1186,0,none,18:26:25,2145
30980,31056,31144,Solid,1186,0,uni,18:26:59,2145
30977,31056,31107,Solid-Weak,1186,0,uni,18:21:21,2145
30971,31131,31052,Solid-Strong,1186,0,uni,18:27:06,2145
30965,31061,31131,Dashed-Weak,1186,0,none,18:16:55,2145
30957,31061,31052,Dashed-Strong,1186,0,uni,18:27:23,2145
30955,31052,31044,Solid-Strong,1186,0,uni,18:27:09,2145
30950,30979,31038,Dashed-Strong,1186,0,none,18:26:47,2145
30942,31061,31086,Solid-Weak,1186,0,uni,18:21:09,2145
30938,30997,31078,Solid,1186,0,none,18:26:37,2145
30936,30979,31078,Solid-Weak,1186,0,none,18:14:45,2145
30929,30997,31001,Solid-Strong,1186,0,none,18:26:43,2145
