id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
32176,may support emotional health ,565.433,30.2107,118.634,88.4722,positive weak,1258,18.0,,13:01:57,1,2216
32175,may cause an increase in medicine,19.0,19.0,159.988,119.988,negative,1258,16.0,,,1,2216
32174,affecting emotional and mental wellbeing,292.322,136.877,159.988,119.988,negative strong,1258,15.0,,,1,2216
32173,affect on economy,600.211,381.322,159.988,119.988,neutral,1258,13.0,,,1,2216
32172,could bring new research to light,751.111,255.556,159.988,119.988,positive weak,1258,12.0,,,1,2216
32171,regulating sleep,695.556,93.3333,159.988,119.988,positive weak,1258,11.0,,,1,2216
32170,not enough info available at the moment,28.0995,354.433,159.988,119.988,negative,1258,10.0,,,1,2216
32169,damaging,36.3218,159.211,159.988,119.988,negative strong,1258,9.0,,,1,2216
32168,trust issues,166.667,47.7778,159.988,119.988,negative,1258,8.0,,12:56:05,1,2216
32167,privacy,372.322,424.766,159.988,119.988,negative,1258,7.0,,,1,2216
32166,ethical issues,226.655,359.988,159.988,119.988,negative strong,1258,5.0,,12:54:32,1,2216
32165,health issue,344.322,16.0,159.988,119.988,negative strong,1258,4.0,,,1,2216
32163,technological implant,288.998,251.991,159.988,119.988,neutral,1258,1.0, ,,1,2216
