id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
30779,Police,616.5,20.0,160.0,120.0,ambivalent,1171,22.0,"the police could use this to stay up longer and be more alert, but they might abuse it if it has side efffects and makes them more aggressive ",18:01:59,1,2129
30971,hackers?,285.25,508.25,160.0,120.0,negative weak,1171,43.0,could hackers remotely shut people down by making them fall asleep. it is controlled by an APP so it could be unsecure ,17:59:07,1,2129
30955,Waste of money?,791.0,389.5,160.0,120.0,negative weak,1171,41.0,could there have been a better use for the money. how much was spent researching this? people are going hungry,17:57:59,1,2129
30925,surveillance,143.75,427.0,160.0,120.0,negative,1171,39.0,,17:56:19,1,2129
30904,unnatural,161.0,296.5,160.0,120.0,ambivalent,1171,37.0,are we messing with nature too much,17:54:43,1,2129
30902,dystopia,376.75,350.0,160.0,120.0,negative weak,1171,36.0,,,1,2129
30846,athletes?,265.5,27.0,160.0,120.0,ambivalent,1171,32.0,"would it be unfair, or classed as doping",17:51:59,1,2129
30838,unavailable,1177.75,384.0,160.0,120.0,negative weak,1171,31.0,,17:56:40,1,2129
30834,elitism?,1034.75,507.75,160.0,120.0,negative weak,1171,29.0,,,1,2129
30821,unfair?,979.75,383.0,160.0,120.0,negative weak,1171,27.0,,17:49:44,1,2129
30813,downsides?,770.0,244.0,160.0,120.0,negative weak,1171,25.0,,,1,2129
30718,painful,1003.0,157.0,160.0,120.0,negative weak,1171,4.0,,17:44:42,1,2129
30805,insomniacs,87.75,68.0,160.0,120.0,positive,1171,24.0,insomniacs and people with other sleep problems would really benefit from this,17:51:23,1,2129
30774,elderly,438.25,21.0,160.0,120.0,positive weak,1171,21.0,,,1,2129
30760,soldiers,793.5,24.0,160.0,120.0,negative weak,1171,20.0,there could be side effects that make them more aggresive or trigger happy.,17:53:09,1,2129
30753,who will use it?,585.25,150.25,160.0,120.0,ambivalent,1171,17.0,,,1,2129
30749,healthier,681.0,569.0,160.0,120.0,positive,1171,16.0,,17:46:53,1,2129
30737,helps sleep,478.117,550.783,160.0,120.0,positive strong,1171,9.0,,,1,2129
30733,useful,589.883,433.883,160.0,120.0,positive,1171,8.0,,,1,2129
30721,side effects?,1022.22,261.783,160.0,120.0,negative weak,1171,6.0,,,1,2129
30719,surgery,973.0,44.0,160.0,120.0,negative,1171,5.0,,17:44:21,1,2129
30699,bio degradable,201.0,163.0,160.0,120.0,positive weak,1171,3.0,,,1,2129
30691,eco friendly,383.0,225.0,179.333,134.0,positive weak,1171,2.0,,17:42:54,1,2129
30680,technological implant,607.0,316.0,160.0,120.0,negative,1171,1.0,,17:42:31,1,2129
