id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31581,31663,31686,Solid-Weak,1222,0,none,21:52:25,2180
31580,31650,31681,Dashed,1222,0,none,21:51:18,2180
31579,31663,31680,Solid-Weak,1222,0,none,21:50:21,2180
31578,31650,31674,Solid-Weak,1222,0,none,21:48:16,2180
31577,31663,31672,Solid-Weak,1222,0,none,21:47:29,2180
31576,31663,31668,Solid-Weak,1222,0,none,21:47:05,2180
31575,31650,31670,Solid-Weak,1222,0,none,21:47:00,2180
31574,31663,31668,Solid-Weak,1222,0,none,21:45:27,2180
31573,31662,31663,Solid-Weak,1222,0,none,21:44:56,2180
31572,31650,31660,Solid,1222,0,none,21:44:50,2180
31571,31650,31658,Solid,1222,0,none,21:44:46,2180
31570,31650,31663,Dashed-Strong,1222,0,none,21:44:42,2180
31569,31650,31652,Dashed,1222,0,none,21:42:08,2180
