id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31400,31482,31519,Solid-Weak,1214,0,none,19:51:45,2172
31399,31514,31518,Solid-Weak,1214,0,none,19:51:08,2172
31398,31514,31517,Solid-Weak,1214,0,none,19:51:06,2172
31390,31512,31514,Solid-Weak,1214,0,none,19:49:48,2172
31389,31482,31514,Solid-Weak,1214,0,none,19:49:41,2172
31381,31485,31489,Solid-Weak,1214,0,none,19:48:49,2172
31374,31482,31485,Solid-Weak,1214,0,none,19:47:52,2172
31373,31482,31492,Solid-Weak,1214,0,none,19:47:44,2172
31372,31489,31496,Solid-Weak,1214,0,none,19:47:35,2172
31371,31489,31492,Solid-Weak,1214,0,none,19:47:33,2172
31370,31492,31495,Solid-Weak,1214,0,none,19:47:29,2172
31369,31495,31496,Solid-Weak,1214,0,none,19:47:26,2172
31368,31492,31496,Solid-Weak,1214,0,none,19:47:22,2172
