id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
30820,Use by children,27.401,400.99,160.0,120.0,ambivalent,1169,21.0,,,1,2127
30876,What about left over pieces?,796.333,608.333,160.0,120.0,negative strong,1169,35.0,,,1,2127
30871,Biodegradable,723.333,498.667,160.0,120.0,ambivalent,1169,34.0,,,1,2127
30866,How expensive will this be?,373.0,162.995,160.0,120.0,ambivalent,1169,32.0,,,1,2127
30864,Who controls the dat collected?,621.333,9.66666,160.0,120.0,negative strong,1169,31.0,,,1,2127
30858,Third Party companies,453.333,7.99998,160.0,120.0,negative weak,1169,30.0,,17:51:46,1,2127
30855,Do we need to control people?,365.0,687.0,160.0,120.0,negative,1169,29.0,,,1,2127
30849,U|se for profit for companies,254.667,53.0,160.0,120.0,negative strong,1169,28.0,,,1,2127
30845,Creation of 2 classes of people,7.0,313.0,160.0,120.0,negative strong,1169,27.0,,,1,2127
30837,Who holds the data?,58.7143,55.2857,160.0,120.0,negative strong,1169,25.0,,,1,2127
30831,Is it always safe?,191.143,131.143,160.0,120.0,negative strong,1169,24.0,,,1,2127
30828,Should we fund this?,31.5714,148.286,160.0,120.0,negative strong,1169,23.0,,,1,2127
30824,Ethics,103.26,233.854,160.0,120.0,negative strong,1169,22.0,,,1,2127
30817,Offer more productivity in life,1013.99,615.417,160.0,120.0,positive strong,1169,20.0,,,1,2127
30812,Help encourage healthy lifestyles,1130.27,337.24,160.0,120.0,positive strong,1169,19.0,,,1,2127
30808,Help improve motivation for things,1019.86,411.714,160.0,120.0,positive strong,1169,18.0,,,1,2127
30800,Not sure if everyone should be doing this though!,1282.55,662.422,160.0,120.0,ambivalent,1169,17.0,,,1,2127
30795,Use implant to better oneself.,1206.14,551.571,160.0,120.0,positive weak,1169,16.0,,,1,2127
30786,Help stabilise body functions,1194.29,442.571,160.0,120.0,positive strong,1169,15.0,,17:47:57,1,2127
30780,Improve personal performance,1022.95,507.552,160.0,120.0,positive,1169,14.0,,17:47:36,1,2127
30764,Do we want super people?,201.38,624.552,160.0,120.0,negative strong,1169,12.0,,,1,2127
30758,Aimed to kill people,502.427,603.854,160.0,120.0,negative strong,1169,11.0,,,1,2127
30754,Use for war,173.693,493.125,160.0,120.0,negative strong,1169,10.0,,,1,2127
30750,Aid/fund terrorism,335.571,537.571,160.0,120.0,negative strong,1169,9.0,,,1,2127
30745,Abuse of soldiers,498.26,488.411,160.0,120.0,negative strong,1169,8.0,,,1,2127
30744,Military use,350.266,416.661,160.0,120.0,negative strong,1169,7.0,,,1,2127
30739,Be used to keep people alive,544.25,113.0,160.0,120.0,positive strong,1169,6.0,,,1,2127
30731,Benefit future research,703.984,335.495,160.0,120.0,positive strong,1169,5.0,,,1,2127
30728,Ensure those with disorders can be treated,811.988,253.996,160.0,120.0,positive,1169,4.0,,,1,2127
30712,Improve patient's lives with cutting edge tech,733.964,122.969,187.318,140.0,positive strong,1169,3.0,,,1,2127
30700,medical research/use,634.953,243.932,135.312,100.99,positive weak,1169,2.0,,17:43:36,1,2127
30661,technological implant,373.958,275.932,160.0,120.0,neutral,1169,1.0, ,,1,2127
