id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31229,31351,31353,Solid-Strong,1200,0,uni,18:56:34,2159
31228,31294,31351,Solid-Strong,1200,0,uni,18:56:16,2159
31222,31327,31348,Solid-Strong,1200,0,uni,18:53:46,2159
31215,31341,31346,Solid-Strong,1200,0,uni,18:51:10,2159
31209,31330,31341,Solid-Strong,1200,0,uni,18:49:58,2159
31208,31330,31341,Solid-Strong,1200,0,none,18:49:47,2159
31207,31330,31333,Solid-Strong,1200,0,uni,18:47:57,2159
31206,31294,31330,Solid-Strong,1200,0,uni,18:47:21,2159
31205,31299,31334,Solid-Strong,1200,0,uni,18:46:41,2159
31201,31294,31327,Solid,1200,0,uni,18:43:47,2159
31187,31294,31301,Solid-Strong,1200,0,uni,18:39:35,2159
31186,31294,31299,Solid-Strong,1200,0,uni,18:39:14,2159
31184,31299,31308,Solid-Strong,1200,0,uni,18:38:46,2159
31162,31299,31304,Solid-Strong,1200,0,uni,18:37:38,2159
