id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
32018,Data Privacy/Hacking,72.4306,524.879,160.0,120.0,negative strong,1246,16.0,"Due to the implant being new, it is unlikely that they can make the security flawless. This could lead to hackers.",21:09:34,1,2204
32017,Reduces Accidents,803.972,419.205,160.0,120.0,positive strong,1246,15.0,"Can reduce fatigue and tiredness, so will decrease accidents such as traffic accidents.",21:04:57,1,2204
32016,Fear/Bullying,809.222,118.889,160.0,120.0,negative weak,1246,14.0,,21:03:38,1,2204
32015,Class System,387.656,116.767,160.0,120.0,negative,1246,13.0,The implant could create a rich/poor class system with people who do and people who don't have the implant.,21:11:52,1,2204
32014,Increased Killing,477.771,518.208,160.0,120.0,negative strong,1246,12.0,Could make military soldiers more likely to cause violence or murder in the line of duty.,21:05:47,1,2204
32013,Drug Replacement,13.0,378.757,160.0,120.0,positive weak,1246,11.0,"The implant could replace the need for certain medication, producing a cheaper and easier use of medication.",21:10:57,1,2204
32012,Money Making by companies,264.997,499.99,160.0,120.0,negative,1246,10.0,The implant could create ways of big corporations making money from the implants and implementing unwanted features or preying upon people with the implant.,21:07:59,1,2204
32011,Unknown Factors,684.99,505.0,160.0,120.0,ambivalent,1246,9.0,"There are still many unknown factors, which could be good or bad, and these are not yet known.",21:05:20,1,2204
32010,Regulates Sleep Cycle,10.0,273.993,160.0,120.0,positive strong,1246,8.0,"Can help people reduce fatigue and tiredness, and can help reduce accidents.",21:18:11,1,2204
32009,Decomposes when no longer wanted,562.99,70.9931,160.0,120.0,positive strong,1246,7.0,"When the implant is no longer needed, the implant decomposes without need for any operation to remove.",21:11:29,1,2204
32008,Energy Efficient/No Maintenance,795.976,252.997,160.0,120.0,positive strong,1246,6.0,"No Power needed, so runs itself. No dangerous power systems running in your head.",21:04:05,1,2204
32007,App Controllable,210.0,177.99,160.0,120.0,ambivalent,1246,5.0,"The implant is app controlled, this could be good or bad depending on who has access to control the implant.",21:12:29,1,2204
32006,Easily Implanted,138.0,20.0,160.0,120.0,positive,1246,4.0,Non invasive to implant in the head.,21:17:52,1,2204
32005,Small in size,747.976,21.0,160.0,120.0,positive strong,1246,3.0,"Implant is small, so can easily be implanted and doesn't take lots of room.",20:52:48,1,2204
32004,technological implant,468.0,291.993,160.0,120.0,neutral,1246,1.0, The positives and negatives of a brain implant.,21:06:06,1,2204
