id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
35648,39176,39170,Solid-Weak,1428,0,none,13:53:44,2392
35647,39174,39170,Solid-Weak,1428,0,none,13:53:43,2392
35646,39175,39170,Solid-Weak,1428,0,none,13:53:42,2392
35643,39177,39182,Solid-Weak,1428,0,none,16:31:12,2392
35642,39181,39182,Solid-Weak,1428,0,none,16:31:08,2392
35641,39170,39182,Dashed-Strong,1428,0,none,16:31:04,2392
35640,39171,39178,Solid,1428,0,none,16:30:54,2392
35639,39171,39179,Solid-Weak,1428,0,none,16:30:46,2392
35638,39171,39180,Solid-Weak,1428,0,none,16:30:40,2392
35636,39170,39171,Solid-Weak,1428,0,uni,16:25:18,2392
