id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31795,sustainable,788.0,594.0,160.0,120.0,ambivalent,1229,22.0,,11:13:20,1,2187
31786,'preparedness to kill,155.438,515.663,180.645,135.0,negative strong,1229,9.0,some are concerned that the implant could alter the mind of the soldiers and increase their 'preparedness to kill',11:12:07,1,2187
31794,partying for days,938.75,437.25,160.0,120.0,negative,1229,20.0,,11:10:35,1,2187
31793,studying,961.0,275.5,160.0,120.0,positive weak,1229,19.0,,,1,2187
31792,young people,713.333,337.778,160.0,120.0,ambivalent,1229,18.0,,,1,2187
31791,sleep-wake,492.434,167.0,160.0,120.0,ambivalent,1229,17.0,,11:09:00,1,2187
31790,powers itself,759.222,471.333,160.0,120.0,ambivalent,1229,15.0,,,1,2187
31789,social exclusion,126.222,305.778,160.0,120.0,negative strong,1229,13.0,,,1,2187
31788,self-destroys,594.333,522.556,160.0,120.0,ambivalent,1229,12.0,,,1,2187
31787,characteristics,584.778,399.0,160.0,120.0,ambivalent,1229,10.0,,11:06:40,1,2187
31785,military,314.444,414.444,160.0,120.0,ambivalent,1229,8.0,,,1,2187
31784,less accidents,758.545,208.653,160.0,120.0,positive strong,1229,7.0,,,1,2187
31783,sleep disorders,691.0,122.0,160.0,120.0,positive,1229,6.0,,11:04:59,1,2187
31782,medical benefit,614.979,18.9965,160.0,120.0,positive strong,1229,5.0,,11:09:03,1,2187
31781,unnatural,112.0,36.0,160.0,120.0,negative weak,1229,4.0,,,1,2187
31780,hacking,301.0,20.0,160.0,120.0,negative weak,1229,3.0,,,1,2187
31779,implanted in brain,228.0,132.0,160.0,120.0,negative strong,1229,2.0,,11:04:29,1,2187
31778,technological implant,378.0,272.0,160.0,120.0,neutral,1229,1.0,,11:07:15,1,2187
