id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31236,31278,31339,Dashed-Strong,1198,0,none,18:57:33,2157
31235,31278,31350,Dashed-Weak,1198,0,none,18:57:21,2157
31234,31325,31316,Dashed-Weak,1198,0,uni,18:57:04,2157
31233,31278,31316,Dashed,1198,0,none,18:56:51,2157
31226,31335,31352,Dashed,1198,0,none,18:55:30,2157
31225,31320,31335,Dashed,1198,0,none,18:53:41,2157
31224,31320,31329,Dashed-Strong,1198,0,none,18:53:28,2157
31223,31278,31320,Dashed-Weak,1198,0,none,18:53:18,2157
31221,31278,31320,Dashed-Weak,1198,0,none,18:52:17,2157
31220,31344,31300,Solid-Weak,1198,0,uni,18:51:48,2157
31219,31310,31313,Solid-Weak,1198,0,none,18:51:24,2157
31218,31278,31313,Solid,1198,0,none,18:52:21,2157
31217,31278,31302,Solid-Strong,1198,0,none,18:52:34,2157
31216,31300,31305,Solid-Weak,1198,0,none,18:51:10,2157
31214,31300,31307,Solid-Weak,1198,0,none,18:50:57,2157
31213,31284,31296,Solid-Weak,1198,0,none,18:50:49,2157
31212,31278,31296,Solid-Strong,1198,0,none,18:52:47,2157
31211,31278,31300,Solid-Strong,1198,0,none,18:52:41,2157
