id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31272,Influence decision making,621.0,501.0,160.0,120.0,negative,1197,21.0,,,1,2156
31269,Access to sensitive data/memories,1022.0,544.0,160.0,120.0,negative,1197,20.0,,,1,2156
31267,Implant to modified to harm individuals,797.0,544.0,160.0,120.0,negative strong,1197,19.0,,,1,2156
31260,More/better quality sleep,545.0,371.0,160.0,120.0,positive strong,1197,17.0,,18:27:25,1,2156
31258,Children could perform better in school,452.0,542.0,160.0,120.0,positive weak,1197,16.0,,,1,2156
31251,Abuse of the implant by employers to encourage unreasonal work hours,110.0,519.0,160.0,120.0,negative weak,1197,15.0,,18:26:10,1,2156
31235,Able to work more flexibly,146.0,286.0,160.0,120.0,positive weak,1197,14.0,,,1,2156
31228,Unknown Side Effects,520.0,20.0,160.0,120.0,negative,1197,13.0,,,1,2156
31226,Lack of time/place to sleep for soldiers would be less of an issue,96.0,20.0,160.0,120.0,positive weak,1197,12.0,,,1,2156
31218,No need for additive drug treatments,943.0,20.0,160.0,120.0,positive weak,1197,11.0,,18:21:47,1,2156
31209,Expanding medical research/treatments for other disorders,1067.0,107.0,160.0,120.0,positive strong,1197,10.0,,18:20:42,1,2156
31196,Modification of implant to perform other function,1049.0,283.0,160.0,120.0,ambivalent,1197,9.0,,18:19:42,1,2156
31189,Potential for hacking,1059.0,432.0,160.0,120.0,negative strong,1197,7.0,,,1,2156
31183,Sexual Assault/Rape,801.0,224.0,160.0,120.0,negative strong,1197,6.0,,,1,2156
31179,Improved Productivity,311.0,415.0,160.0,120.0,ambivalent,1197,5.0,,,1,2156
31177,Improved military performance,303.0,111.0,160.0,120.0,ambivalent,1197,4.0,,,1,2156
31175,Treatment of Sleep Disorders,728.0,106.0,160.0,120.0,positive strong,1197,3.0,,18:17:08,1,2156
31174,Criminal Abuse,754.0,407.0,160.0,120.0,negative strong,1197,2.0,,,1,2156
31169,technological implant,562.0,265.0,160.0,120.0,neutral,1197,1.0, ,,1,2156
