id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31903,31123,31991,Solid,1185,0,none,19:21:20,2144
31902,31200,31991,Solid,1185,0,none,19:19:35,2144
31901,31136,31991,Solid-Weak,1185,0,none,19:19:23,2144
31900,31014,31991,Solid-Strong,1185,0,none,19:18:45,2144
31899,31223,31991,Solid,1185,0,none,19:18:35,2144
31070,31136,31047,Dashed-Weak,1185,0,none,18:24:41,2144
31066,30998,31223,Solid,1185,0,none,18:24:18,2144
31031,31136,31200,Solid-Strong,1185,0,none,18:21:01,2144
30939,31136,31047,Solid-Weak,1185,0,none,18:15:10,2144
30915,31047,31136,Solid-Weak,1185,0,none,18:12:39,2144
30913,31047,31136,Dashed-Weak,1185,0,none,18:12:25,2144
30902,31068,31123,Solid-Strong,1185,0,none,18:10:34,2144
30777,31014,31047,Solid,1185,0,none,18:03:10,2144
30725,30998,31014,Solid-Strong,1185,0,none,18:01:24,2144
