id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31108,can be used as a weapon.,1064.0,516.0,160.0,120.0,negative strong,1166,90.0,,,1,2123
31085,medical benefits.,1036.0,610.0,160.0,120.0,positive weak,1166,87.0,people who have been seriously injured can be put to sleep to recover.,18:06:30,1,2123
31059,risks are huge and unkown,402.0,116.0,160.0,120.0,negative strong,1166,76.0,,,1,2123
31021,Elderly.,30.0,434.0,160.0,120.0,positive,1166,64.0,more naps.,18:02:34,1,2123
31016,teens.,802.0,176.0,160.0,120.0,negative strong,1166,59.0,stay up for days and party,18:04:46,1,2123
30992,students. ,752.0,528.0,160.0,120.0,positive weak,1166,58.0,Study more. more concentration. ,18:00:40,1,2123
30982,regulating sleep.,326.0,562.0,160.0,120.0,positive,1166,57.0,,,1,2123
30967,everybody may profit.,934.0,818.0,160.0,120.0,positive strong,1166,51.0,,,1,2123
30934,Data Issues.,268.0,188.0,160.0,120.0,negative,1166,37.0,,,1,2123
30920,Hackers,170.0,296.0,160.0,120.0,negative strong,1166,36.0,,,1,2123
30892,people may be coerced.,78.0,842.0,160.0,120.0,negative strong,1166,35.0,,,1,2123
30881,Accidents are less likely.,228.0,662.0,160.0,120.0,positive strong,1166,34.0,,,1,2123
30865,Economists,98.0,562.0,160.0,120.0,ambivalent,1166,25.0,,,1,2123
30847,can have multiple functions.,388.0,756.0,160.0,120.0,positive,1166,22.0,,17:51:05,1,2123
30833,sustainably produced.,684.0,642.0,160.0,120.0,positive strong,1166,21.0,,,1,2123
30804,Reapir itself,590.0,748.0,160.0,120.0,positive,1166,19.0,,,1,2123
30794,No maintenance.,518.0,514.0,160.0,120.0,positive weak,1166,18.0,,,1,2123
30726,alter mentality,998.0,204.0,160.0,120.0,negative strong,1166,15.0,,,1,2123
30704,days without sleep.,960.0,352.0,160.0,120.0,positive,1166,7.0,,,1,2123
30678,Military.,776.0,294.0,160.0,120.0,ambivalent,1166,3.0,,,1,2123
30664,scientific advancement.,581.0,108.0,201.0,150.25,positive strong,1166,2.0,,,1,2123
30649,technological implant,378.0,272.0,160.0,120.0,neutral,1166,1.0, ,,1,2123
