id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31776,increased work expectations,838.8,325.0,160.0,120.0,negative weak,1228,16.0,,,1,2186
31775,society of have/have nots,795.8,518.0,160.0,120.0,negative,1228,15.0,,,1,2186
31774,military use,184.0,544.0,160.0,120.0,ambivalent,1228,14.0,,,1,2186
31773,unnatural,526.6,515.0,160.0,120.0,negative strong,1228,13.0,,,1,2186
31772,hacking,334.0,419.0,160.0,120.0,negative strong,1228,12.0,,00:46:03,1,2186
31771,potential for abuse,157.0,339.0,160.0,120.0,negative strong,1228,11.0,,,1,2186
31770,degradable,86.0,53.0,160.0,120.0,positive weak,1228,10.0,,00:45:21,1,2186
31769,long lasting,83.0,214.0,160.0,120.0,ambivalent,1228,9.0,,,1,2186
31768,energy autonomous,38.0,489.0,160.0,120.0,ambivalent,1228,8.0,,,1,2186
31767,sustainably produced,263.0,20.0,160.0,120.0,positive weak,1228,7.0,,,1,2186
31766,better mental health,551.0,20.0,160.0,120.0,positive,1228,6.0,,,1,2186
31765,more work efficiency,816.0,20.0,160.0,120.0,positive weak,1228,5.0,,00:43:00,1,2186
31764,work longer/better,690.0,129.0,160.0,120.0,positive,1228,4.0,,,1,2186
31763,helps concentration,570.0,288.0,160.0,120.0,positive weak,1228,3.0,,,1,2186
31762,helps sleep disorders,423.0,105.0,160.0,120.0,positive strong,1228,2.0,,00:42:11,1,2186
31761,technological implant,365.0,280.0,160.0,120.0,neutral,1228,1.0,,,1,2186
