id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31079,31148,31213,Solid-Weak,1192,0,none,18:25:32,2151
31078,31148,31222,Solid-Weak,1192,0,none,18:25:20,2151
31074,31148,31231,Dashed-Weak,1192,0,none,18:24:55,2151
31071,31161,31231,Solid-Weak,1192,0,none,18:24:42,2151
31025,31148,31161,Dashed-Weak,1192,0,none,18:20:13,2151
31023,31148,31171,Dashed-Weak,1192,0,none,18:20:09,2151
31018,31148,31180,Dashed-Weak,1192,0,none,18:20:01,2151
31000,31148,31153,Dashed-Weak,1192,0,none,18:19:02,2151
30997,31153,31159,Solid-Weak,1192,0,none,18:18:42,2151
30991,31148,31159,Dashed-Weak,1192,0,none,18:18:22,2151
