id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31059,31229,30791,Dashed,1178,0,uni,18:23:45,2136
31049,31211,30791,Dashed,1178,0,uni,18:22:43,2136
31015,31192,31176,Solid-Weak,1178,0,uni,18:20:02,2136
30995,30791,31176,Solid-Weak,1178,0,none,18:18:36,2136
30961,31050,31152,Dashed,1178,0,none,18:16:45,2136
30922,31067,31140,Solid-Weak,1178,0,uni,18:13:27,2136
30903,31067,31050,Solid,1178,0,uni,18:10:44,2136
30789,30791,31050,Solid-Weak,1178,0,uni,18:03:46,2136
30754,31005,30803,Dashed-Weak,1178,0,uni,18:02:20,2136
30701,30981,30803,Solid,1178,0,uni,17:59:55,2136
30599,30836,30914,Dashed-Strong,1178,0,uni,17:55:16,2136
30529,30836,30803,Solid-Strong,1178,0,uni,17:50:46,2136
30513,30803,30791,Solid,1178,0,uni,17:49:14,2136
