id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31695,31755,31757,Solid-Weak,1226,0,none,23:01:08,2184
31694,31755,31756,Solid-Weak,1226,0,none,23:01:06,2184
31687,31722,31755,Dashed-Weak,1226,0,none,23:00:01,2184
31684,31749,31754,Dashed-Weak,1226,0,uni,22:59:15,2184
31683,31751,31752,Solid-Weak,1226,0,uni,22:58:22,2184
31682,31749,31751,Solid-Weak,1226,0,uni,22:58:15,2184
31681,31722,31749,Solid-Weak,1226,0,none,22:58:11,2184
31678,31747,31748,Dashed-Weak,1226,0,none,22:56:17,2184
31676,31744,31747,Dashed-Weak,1226,0,uni,22:56:03,2184
31673,31745,31746,Solid-Weak,1226,0,uni,22:54:37,2184
31672,31744,31745,Solid-Weak,1226,0,uni,22:54:31,2184
31671,31722,31744,Solid,1226,0,none,22:54:24,2184
31670,31722,31732,Solid-Weak,1226,0,none,22:52:46,2184
31669,31738,31743,Dashed-Weak,1226,0,uni,22:52:36,2184
31668,31732,31740,Solid-Weak,1226,0,uni,22:51:36,2184
31667,31732,31738,Solid-Weak,1226,0,none,22:51:30,2184
31666,31732,31736,Solid-Weak,1226,0,uni,22:51:27,2184
31665,31732,31734,Solid-Weak,1226,0,uni,22:51:22,2184
31664,31729,31725,Solid-Weak,1226,0,uni,22:49:07,2184
31663,31722,31723,Solid,1226,0,none,22:48:00,2184
31661,31723,31726,Solid-Weak,1226,0,uni,22:47:23,2184
31660,31723,31724,Solid-Weak,1226,0,uni,22:47:27,2184
31659,31723,31725,Solid-Weak,1226,0,uni,22:47:31,2184
