id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31042,31088,30910,Dashed-Strong,1179,0,uni,18:23:33,2138
31052,31037,30910,Dashed-Weak,1179,0,uni,18:23:08,2138
31044,31172,30910,Dashed-Strong,1179,0,uni,18:23:01,2138
31050,31088,31103,Solid-Weak,1179,0,none,18:22:37,2138
31020,31103,30910,Dashed-Strong,1179,0,uni,18:20:25,2138
31016,30961,30910,Solid-Weak,1179,0,uni,18:20:00,2138
31010,30975,30910,Solid-Weak,1179,0,uni,18:19:47,2138
31009,30956,30910,Solid-Weak,1179,0,uni,18:19:37,2138
31008,30999,30910,Solid-Weak,1179,0,uni,18:19:33,2138
31007,30910,31002,Solid-Weak,1179,0,none,18:19:27,2138
31006,31002,31184,Solid-Weak,1179,0,none,18:19:21,2138
31003,30961,30975,Solid-Weak,1179,0,none,18:19:06,2138
31002,30956,30999,Solid-Weak,1179,0,none,18:19:03,2138
30999,31037,31184,Solid,1179,0,none,18:18:57,2138
