id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31117,addictions,24.0,636.0,160.0,120.0,negative strong,1168,26.0,,18:09:10,1,2125
30825,invasion of privacy,211.354,665.229,160.0,120.0,negative strong,1168,9.0,,17:51:24,1,2125
31069,improved country security,138.0,138.0,160.0,120.0,positive strong,1168,25.0,,18:04:57,1,2125
31036,more time spent with loved ones,712.0,106.0,160.0,120.0,positive strong,1168,24.0,,18:03:01,1,2125
31010,increased alcohol consumption,216.316,444.983,160.0,120.0,negative strong,1168,23.0,,18:00:59,1,2125
31004,increased drug taking,30.9861,468.663,160.0,120.0,negative strong,1168,22.0,,18:00:29,1,2125
30991,increased partying,117.653,323.667,160.0,120.0,ambivalent,1168,21.0,,18:00:03,1,2125
30960,world peace,1162.0,58.3333,160.0,120.0,positive strong,1168,20.0,,17:57:48,1,2125
30937,viruses,800.0,673.333,160.0,120.0,negative strong,1168,19.0,,17:56:03,1,2125
30930,added features,1207.98,731.979,160.0,120.0,positive,1168,18.0,,17:55:49,1,2125
30923,improved functionality,1252.96,600.646,160.0,120.0,positive strong,1168,17.0,,17:55:39,1,2125
30913,modding,988.646,551.292,160.0,120.0,positive strong,1168,16.0,,17:55:37,1,2125
30752,increased conflicts,454.965,20.0,160.0,120.0,negative strong,1168,6.0,,17:51:55,1,2125
30895,next stage of evolution,1339.31,267.979,160.0,120.0,positive strong,1168,15.0,,17:53:50,1,2125
30877,greater knowledge,963.962,410.611,160.0,120.0,positive strong,1168,13.0,,17:53:05,1,2125
30835,psychological harm,608.389,671.247,160.0,120.0,negative strong,1168,12.0,,17:51:37,1,2125
30829,physical harm,405.955,670.694,160.0,120.0,negative strong,1168,10.0,,17:51:26,1,2125
30799,greater progress in science,1109.9,224.514,160.0,120.0,positive strong,1168,8.0,,17:48:46,1,2125
30785,malicious hacking,527.948,423.958,160.0,120.0,negative strong,1168,7.0,,17:49:25,1,2125
30684,less sleep needed,681.958,226.938,160.0,120.0,positive strong,1168,2.0,,17:46:57,1,2125
30748,improved military,240.958,18.0,160.0,120.0,ambivalent,1168,5.0,,17:47:26,1,2125
30690,improved productivity,905.955,189.962,160.0,120.0,positive strong,1168,3.0,,17:47:06,1,2125
30654,technological implant,435.986,228.997,160.0,120.0,neutral,1168,1.0, ,,1,2125
