id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
30907,30923,30937,Dashed-Weak,1168,0,none,18:11:12,2125
30899,30684,30785,Dashed-Weak,1168,0,none,18:10:11,2125
30897,30690,30785,Dashed-Weak,1168,0,none,18:10:08,2125
30888,31010,31117,Solid-Strong,1168,0,none,18:09:16,2125
30887,31004,31117,Solid-Strong,1168,0,none,18:09:22,2125
30482,30684,30654,Solid-Strong,1168,0,uni,18:07:19,2125
30524,30829,30785,Solid-Strong,1168,0,none,18:06:47,2125
30834,30785,31069,Dashed-Weak,1168,0,none,18:05:41,2125
30808,30748,31069,Solid-Weak,1168,0,none,18:04:32,2125
30793,30684,30748,Solid-Weak,1168,0,uni,18:04:06,2125
30783,30960,31036,Solid-Weak,1168,0,none,18:03:18,2125
30781,30690,31036,Solid-Weak,1168,0,none,18:03:17,2125
30763,30684,31036,Solid-Strong,1168,0,none,18:02:43,2125
30732,30835,31010,Solid-Weak,1168,0,none,18:01:18,2125
30731,30835,31004,Solid-Weak,1168,0,none,18:01:16,2125
30728,30829,31004,Solid-Weak,1168,0,none,18:01:11,2125
30726,30829,31010,Solid-Weak,1168,0,none,18:01:08,2125
30723,30991,31004,Solid-Weak,1168,0,none,18:01:03,2125
30722,30991,31010,Solid-Weak,1168,0,none,18:01:01,2125
30700,30654,30991,Solid-Weak,1168,0,none,17:59:46,2125
30516,30654,30785,Solid-Strong,1168,0,none,17:59:03,2125
30481,30684,30690,Solid-Strong,1168,0,none,17:58:09,2125
30662,30752,30960,Dashed-Strong,1168,0,none,17:57:56,2125
30661,30799,30960,Solid-Weak,1168,0,none,17:57:40,2125
30634,30690,30923,Solid,1168,0,none,17:58:32,2125
30627,30785,30937,Solid,1168,0,none,17:58:52,2125
30614,30913,30930,Solid-Weak,1168,0,none,17:55:33,2125
30611,30913,30923,Solid-Weak,1168,0,none,17:55:30,2125
30595,30654,30913,Solid-Weak,1168,0,none,17:55:01,2125
30564,30799,30895,Solid,1168,0,none,17:58:17,2125
30546,30799,30877,Solid-Strong,1168,0,none,17:58:22,2125
30545,30690,30877,Solid-Strong,1168,0,none,17:58:20,2125
30523,30825,30785,Solid-Strong,1168,0,none,18:06:42,2125
30525,30835,30785,Solid-Strong,1168,0,none,18:06:48,2125
30509,30690,30799,Solid-Strong,1168,0,none,17:58:12,2125
30490,30748,30752,Solid-Weak,1168,0,none,17:47:27,2125
