id,starting_block,ending_block,line_style,creator,num,arrow_type,timestamp,CAM
31848,31882,31886,Solid-Weak,1236,0,none,20:39:16,2194
31847,31883,31886,Solid-Weak,1236,0,none,20:39:13,2194
31846,31881,31886,Solid-Weak,1236,0,none,20:39:05,2194
31845,31875,31885,Solid-Weak,1236,0,none,20:38:26,2194
31842,31880,31884,Dashed-Weak,1236,0,none,20:37:56,2194
31840,31879,31880,Solid-Weak,1236,0,none,20:36:55,2194
31839,31875,31878,Solid-Weak,1236,0,none,20:31:41,2194
31838,31875,31876,Solid-Weak,1236,0,none,20:31:41,2194
31836,31873,31875,Solid-Weak,1236,0,none,20:31:37,2194
31835,31881,31883,Solid-Weak,1236,0,none,20:31:35,2194
31834,31881,31882,Solid-Weak,1236,0,none,20:31:34,2194
31833,31879,31883,Solid-Weak,1236,0,none,20:31:30,2194
31832,31873,31880,Solid-Weak,1236,0,none,20:31:23,2194
31831,31874,31879,Solid-Weak,1236,0,none,20:31:15,2194
31830,31874,31881,Solid-Weak,1236,0,none,20:31:13,2194
31829,31873,31874,Solid-Weak,1236,0,none,20:31:11,2194
