id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
30944,imrpoves mental health,1137.0,165.0,160.0,120.0,positive strong,1173,41.0,,17:57:25,1,2131
30928,Plays with nature,410.333,575.0,160.0,120.0,negative strong,1173,34.0,,17:55:37,1,2131
30896,encourages potential future implants,100.286,24.6562,243.88,182.422,negative strong,1173,26.0,,17:54:50,1,2131
30874,Unknown longtern health effects,23.9792,209.974,361.953,270.964,negative strong,1173,24.0,,,1,2131
30863,potentially could be hacked,795.906,25.9635,273.958,204.948,negative strong,1173,20.0,,,1,2131
30854,cost unknown but could prohibit some patients from access,487.943,99.6094,197.969,147.969,negative weak,1173,17.0,,,1,2131
30839,improves  performance at work,868.641,277.656,160.0,120.0,positive weak,1173,10.0,,,1,2131
30815,improves sleep,982.974,486.323,160.0,120.0,positive strong,1173,8.0,,17:57:21,1,2131
30797,brings sufferers off long term medication,690.464,546.479,160.0,120.0,positive strong,1173,3.0,,,1,2131
30771,benefits people with sleep issues,713.219,354.473,221.973,165.976,positive strong,1173,2.0,,17:48:38,1,2131
30763,technological implant,444.995,323.984,160.0,119.479,neutral,1173,1.0,,,1,2131
