id,title,x_pos,y_pos,width,height,shape,creator,num,comment,timestamp,modifiable,CAM
31626,Data privacy and security risk,1026.0,523.0,160.0,120.0,negative strong,1218,18.0,,,1,2176
31625,Employers may abuse their employees and overwork them,963.0,177.0,160.0,120.0,negative strong,1218,17.0,,,1,2176
31623,Can give people more time to accomplish tasks,1190.0,20.0,160.0,120.0,positive strong,1218,16.0,,,1,2176
31621,Could create have and have-not class system,1100.0,356.0,160.0,120.0,negative strong,1218,15.0,,,1,2176
31620,Could alter the mentality of soldiers negatively,712.0,544.0,160.0,120.0,negative strong,1218,14.0,,,1,2176
31619,Soldiers can go days without sleep,490.0,544.0,160.0,120.0,positive,1218,13.0,,,1,2176
31617,Military use,600.0,420.0,160.0,120.0,ambivalent,1218,12.0,,,1,2176
31615,Can be used to treat sleep disorders,729.0,20.0,160.0,120.0,positive strong,1218,11.0,,,1,2176
31612,Can help regulate sleep-wake cycle,963.0,20.0,160.0,120.0,positive strong,1218,10.0,,,1,2176
31611,Can decompose if the user no longer wants or if damaged,44.0,544.0,160.0,120.0,positive strong,1218,9.0,,,1,2176
31610,Self-repairing,46.0,432.0,160.0,120.0,positive strong,1218,8.0,,,1,2176
31609,No maintenance required,264.0,486.0,160.0,120.0,positive strong,1218,7.0,,,1,2176
31608,Vulnerable to hackers,82.0,326.0,160.0,120.0,negative strong,1218,6.0,,,1,2176
31607,Ease of use and increased functionality,87.0,179.0,160.0,120.0,positive strong,1218,5.0,,,1,2176
31606,Controlled via an app,267.0,247.0,160.0,120.0,ambivalent,1218,4.0,,,1,2176
31605,Easily implanted,22.0,20.0,160.0,120.0,positive strong,1218,3.0,,,1,2176
31604,Small size,268.0,20.0,160.0,120.0,positive strong,1218,2.0,,,1,2176
31602,technological implant,600.0,246.0,160.0,120.0,neutral,1218,1.0, ,,1,2176
